"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-38.9,-24.5,-43.8,-5120.0,
-33.1,-33.3,-26.3,-5120.0,
-30.6,-38.4,-31.3,-4636.3,
-30.3,-35.5,-43.8,-4847.5,
-27.4,-25.9,-48.8,-5120.0,
-21.6,-16.1,-26.3,-5031.3,
-17.3,-10.8,-38.8,-4711.3,
-16.3,-10.5,-23.8,-5120.0,
-15.3,-13.6,-16.3,-5120.0,
-12.5,-16.1,-23.8,-4773.8,
-9.8,-15.0,-22.5,-5120.0,
-9.0,-10.8,-32.5,-5120.0,
-10.9,-5.0,-32.5,-4927.5,
-13.1,-1.4,-33.8,-5021.3,
-13.4,-2.5,-31.3,-5120.0,
-11.6,-5.5,-21.3,-5080.0,
-10.0,-8.0,-11.3,-4965.0,
-10.5,-9.5,-18.8,-5120.0,
-10.9,-9.1,-8.8,-5120.0,
-8.9,-8.0,-5.0,-4985.0,
-7.0,-7.9,7.5,-5120.0,
-8.1,-10.1,8.8,-5120.0,
-10.1,-14.1,11.3,-5042.5,
-8.8,-17.0,31.3,1982.5,
-5.8,-16.9,21.3,4527.5,
-5.9,-12.1,6.3,5118.8,
-8.8,-1.9,-31.3,1616.3,
-10.0,10.0,-25.0,-5032.5,
-6.6,17.0,-15.0,-5016.3,
-0.5,16.0,-13.8,-5120.0,
3.9,10.0,-17.5,-5120.0,
4.1,2.8,5.0,-5005.0,
2.1,-3.8,12.5,-5120.0,
1.0,-7.1,13.8,-4733.8,
-0.3,-6.9,21.3,1771.3,
-4.0,-4.8,18.8,467.5,
-7.8,-2.0,8.8,3102.5,
-6.8,0.8,13.8,4515.0,
-2.8,3.9,3.8,4881.3,
-1.0,8.9,-16.3,-231.3,
-2.0,15.3,-27.5,-4721.3,
-2.0,20.9,-38.8,-5120.0,
2.1,22.6,-23.8,-4940.0,
8.6,18.1,-3.8,-4478.8,
13.0,11.5,-2.5,-5120.0,
14.3,8.3,20.0,-5120.0,
12.3,9.1,21.3,-4163.8,
8.1,12.1,12.5,3643.8,
6.5,15.0,-6.3,1368.8,
7.9,17.5,-6.3,-3243.8,
