"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-50.6,-27.0,-331.3,85.0,
-47.5,-23.1,-333.8,80.0,
-48.0,-21.1,-333.8,101.3,
-48.6,-19.3,-342.5,145.0,
-48.4,-18.6,-346.3,192.5,
-50.1,-21.6,-351.3,242.5,
-54.6,-26.8,-342.5,233.8,
-58.0,-28.6,-342.5,227.5,
-58.6,-26.6,-342.5,240.0,
-58.9,-25.3,-338.8,242.5,
-58.4,-25.9,-330.0,230.0,
-53.4,-24.0,-313.8,228.8,
-29.0,-15.0,-290.0,241.3,
-21.1,-3.6,-288.8,285.0,
-15.4,1.8,-275.0,296.3,
-6.9,2.5,-256.3,267.5,
0.9,4.8,-245.0,297.5,
4.0,6.8,-243.8,320.0,
5.8,6.5,-232.5,326.3,
8.1,7.0,-240.0,291.3,
8.0,8.4,-232.5,238.8,
4.4,7.9,-232.5,245.0,
1.0,4.5,-208.8,243.8,
-0.8,1.3,-196.3,216.3,
-1.8,-1.1,-178.8,208.8,
-0.4,-4.1,-151.3,185.0,
4.3,-4.4,-115.0,132.5,
10.4,0.8,-92.5,95.0,
16.1,6.8,-60.0,70.0,
21.4,9.8,-30.0,55.0,
27.1,10.8,-1.3,23.8,
34.8,12.6,13.8,8.8,
43.9,17.5,45.0,-6.3,
53.0,25.5,76.3,5.0,
62.3,35.1,98.8,18.8,
71.8,44.1,123.8,28.8,
80.4,49.6,145.0,17.5,
88.0,51.9,172.5,-27.5,
96.8,54.9,193.8,-108.8,
106.9,61.8,211.3,-130.0,
115.6,70.6,227.5,-123.8,
122.0,77.5,238.8,-75.0,
128.1,80.6,260.0,-30.0,
134.9,82.6,285.0,-11.3,
139.0,87.6,297.5,-8.8,
137.5,93.5,305.0,18.8,
130.9,94.8,330.0,16.3,
122.4,88.8,338.8,-6.3,
114.9,79.4,347.5,-30.0,
106.6,72.6,351.3,-25.0,
93.8,68.0,343.8,32.5,
78.8,59.6,336.3,87.5,
68.4,47.8,332.5,85.0,
62.6,39.3,331.3,57.5,
55.4,34.9,336.3,77.5,
45.9,28.3,343.8,93.8,
39.4,18.3,350.0,118.8,
37.5,10.9,353.8,105.0,
37.3,7.6,348.8,100.0,
35.5,5.4,350.0,112.5,
32.8,2.3,337.5,155.0,
32.3,0.4,341.3,143.8,
33.9,1.9,341.3,155.0,
33.5,3.3,328.8,180.0,
30.8,-0.4,327.5,175.0,
28.4,-6.6,331.3,153.8,
27.1,-10.5,328.8,130.0,
25.5,-10.6,330.0,118.8,
22.8,-8.4,332.5,116.3,
19.5,-6.0,325.0,117.5,
17.4,-5.1,322.5,102.5,
17.9,-5.9,322.5,90.0,
20.1,-6.9,326.3,72.5,
21.4,-7.4,322.5,65.0,
20.5,-8.0,313.8,81.3,
18.1,-7.4,308.8,60.0,
13.4,-4.6,298.8,33.8,
5.4,-4.6,278.8,36.3,
-2.9,-10.8,263.8,28.8,
-9.6,-18.0,255.0,57.5,
-16.1,-24.4,235.0,65.0,
-19.9,-32.0,231.3,80.0,
-16.5,-37.1,226.3,66.3,
-11.3,-34.1,221.3,31.3,
-16.8,-28.9,213.8,-5.0,
-35.3,-34.6,222.5,-25.0,
-59.4,-53.0,211.3,-32.5,
-84.6,-76.3,208.8,-30.0,
-109.6,-100.3,212.5,-27.5,
-134.8,-124.6,200.0,-30.0,
-158.9,-148.3,201.3,-35.0,
-180.1,-169.5,187.5,-32.5,
-199.0,-189.3,186.3,-28.8,
-214.3,-208.8,195.0,-21.3,
-222.6,-223.6,190.0,21.3,
-223.6,-229.3,190.0,72.5,
-218.6,-226.5,186.3,68.8,
-210.8,-218.1,182.5,77.5,
-202.1,-208.0,188.8,65.0,
-191.8,-198.6,177.5,13.8,
-179.0,-186.9,175.0,-26.3,
-165.3,-170.1,165.0,-13.8,
-152.4,-150.8,162.5,35.0,
-141.0,-132.6,158.8,-13.8,
-129.3,-116.6,150.0,-145.0,
-115.3,-102.1,145.0,-290.0,
-99.5,-88.1,132.5,-398.8,
-83.9,-74.6,126.3,-443.8,
-69.1,-61.5,127.5,-436.3,
-56.9,-48.4,117.5,-371.3,
-48.1,-37.3,102.5,-313.8,
-42.1,-28.3,91.3,-241.3,
-38.8,-18.4,81.3,-177.5,
-38.9,-8.5,70.0,-52.5,
-39.6,-3.0,53.8,33.8,
-36.5,-1.3,47.5,35.0,
-30.3,1.0,41.3,6.3,
-23.3,4.6,25.0,-18.8,
-14.1,8.8,25.0,-61.3,
-3.6,15.4,25.0,-60.0,
3.8,23.8,16.3,-37.5,
7.9,29.9,12.5,-28.8,
11.0,33.5,0.0,-28.8,
13.4,35.9,6.3,11.3,
15.6,36.0,0.0,48.8,
19.9,35.1,10.0,47.5,
26.4,36.6,13.8,15.0,
32.8,41.6,21.3,8.8,
37.4,48.1,18.8,28.8,
40.5,53.9,20.0,62.5,
41.9,58.4,16.3,52.5,
41.4,60.6,23.8,61.3,
40.4,59.3,18.8,70.0,
40.3,56.0,25.0,67.5,
41.0,54.1,26.3,48.8,
40.9,54.8,17.5,32.5,
38.5,55.0,23.8,56.3,
35.3,51.8,13.8,63.8,
32.0,46.8,0.0,75.0,
26.5,42.9,-5.0,110.0,
18.0,38.4,-17.5,150.0,
9.6,31.6,-27.5,148.8,
3.8,26.6,-26.3,106.3,
0.4,26.1,-38.8,85.0,
-0.4,27.8,-38.8,77.5,
0.1,28.6,-41.3,103.8,
0.1,28.1,-45.0,133.8,
0.1,27.0,-57.5,135.0,
2.0,26.5,-53.8,125.0,
5.4,27.1,-56.3,120.0,
7.8,28.0,-52.5,101.3,
8.5,28.1,-53.8,95.0,
9.1,27.8,-60.0,90.0,
8.4,28.5,-76.3,70.0,
4.4,28.5,-81.3,93.8,
1.1,25.3,-90.0,111.3,
1.1,21.8,-86.3,112.5,
1.9,21.0,-100.0,85.0,
2.4,21.9,-86.3,71.3,
2.4,23.0,-92.5,55.0,
0.3,23.0,-98.8,66.3,
-3.0,20.3,-107.5,58.8,
-4.9,16.9,-108.8,33.8,
-5.5,16.3,-107.5,-8.8,
-6.4,17.3,-107.5,-27.5,
-6.6,14.5,-113.8,-20.0,
