"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-24.1,-41.6,-72.5,18.8,
-20.0,-26.8,-77.5,-5.0,
-17.3,-12.3,-71.3,-12.5,
-10.9,-5.3,-61.3,-23.8,
0.0,3.3,-56.3,-41.3,
10.8,17.3,-53.8,-51.3,
17.0,25.3,-45.0,-25.0,
17.5,17.0,-37.5,-20.0,
13.1,-8.1,-30.0,-18.8,
8.4,-38.4,-18.8,-43.8,
6.8,-54.9,-13.8,-62.5,
5.8,-52.5,0.0,-58.8,
1.8,-43.6,3.8,-56.3,
-3.9,-39.4,17.5,-47.5,
-6.5,-43.9,20.0,-36.3,
-6.6,-54.3,26.3,-12.5,
-10.3,-62.6,23.8,7.5,
-23.4,-66.9,28.8,21.3,
-28.6,-73.1,25.0,0.0,
-38.4,-85.1,13.8,15.0,
-52.9,-107.5,13.8,57.5,
-64.6,-137.8,11.3,73.8,
-65.5,-157.6,7.5,71.3,
-58.0,-153.0,12.5,72.5,
-52.0,-130.9,11.3,73.8,
-52.0,-112.9,3.8,90.0,
-55.0,-112.4,3.8,41.3,
-55.4,-123.5,-5.0,7.5,
-50.8,-127.4,-3.8,8.8,
-42.6,-109.1,2.5,15.0,
-35.8,-72.3,-6.3,1.3,
-33.1,-38.0,0.0,16.3,
-33.3,-20.1,-11.3,31.3,
-35.4,-9.8,-10.0,37.5,
-38.5,-0.1,-16.3,37.5,
-39.0,5.4,-12.5,36.3,
-35.5,8.1,-25.0,20.0,
-31.4,16.4,-15.0,1.3,
-28.6,36.0,-22.5,-18.8,
-23.5,55.5,-15.0,-17.5,
-12.6,60.6,-16.3,2.5,
-0.5,57.4,-6.3,-22.5,
7.5,55.0,-16.3,-116.3,
12.5,54.0,-12.5,-278.8,
17.3,55.5,-1.3,-435.0,
25.1,63.0,-1.3,-513.8,
35.9,79.9,-6.3,-501.3,
43.8,101.1,-10.0,-378.8,
45.3,112.5,-3.8,-245.0,
41.5,107.0,1.3,-157.5,
36.3,90.4,11.3,-73.8,
32.6,72.3,8.8,-30.0,
30.6,60.1,10.0,-5.0,
27.3,57.3,16.3,-8.8,
20.3,56.8,6.3,17.5,
12.6,46.6,6.3,45.0,
8.4,31.0,7.5,42.5,
7.5,24.1,-3.8,36.3,
9.6,24.1,0.0,48.8,
14.1,23.3,-3.8,62.5,
15.4,21.5,-10.0,21.3,
7.6,15.0,-25.0,-33.8,
-7.1,-3.8,-42.5,-21.3,
-18.4,-35.0,-48.8,36.3,
-21.0,-66.1,-48.8,48.8,
-22.0,-86.6,-60.0,31.3,
-25.5,-100.8,-58.8,38.8,
-27.6,-107.3,-58.8,22.5,
-28.1,-101.3,-65.0,2.5,
-31.4,-91.0,-60.0,28.8,
-39.1,-89.0,-47.5,68.8,
-47.0,-95.6,-38.8,120.0,
-49.5,-97.8,-27.5,123.8,
-46.9,-89.4,-25.0,116.3,
-44.1,-81.9,-22.5,127.5,
-45.9,-89.4,-16.3,175.0,
-53.8,-110.5,-7.5,212.5,
-64.6,-134.4,-3.8,231.3,
-72.8,-154.0,-8.8,238.8,
-74.0,-159.1,-7.5,223.8,
-69.1,-142.6,-12.5,211.3,
-63.4,-115.0,-15.0,218.8,
-62.3,-94.0,-20.0,233.8,
-65.4,-90.9,-15.0,271.3,
-67.6,-102.8,-27.5,276.3,
-64.3,-113.1,-25.0,251.3,
-54.9,-108.6,-31.3,213.8,
-44.1,-88.4,-36.3,186.3,
-38.6,-62.5,-43.8,203.8,
-38.6,-43.9,-38.8,238.8,
-38.0,-35.5,-33.8,271.3,
-32.8,-31.5,-42.5,296.3,
-24.4,-26.0,-41.3,291.3,
-17.4,-20.9,-42.5,311.3,
-12.1,-20.1,-31.3,297.5,
-5.3,-16.1,-42.5,251.3,
2.0,-2.5,-41.3,233.8,
3.1,11.1,-36.3,263.8,
-2.4,10.5,-37.5,282.5,
-6.0,-3.6,-41.3,277.5,
-2.8,-12.0,-25.0,243.8,
2.5,-5.9,-23.8,242.5,
5.4,-0.3,-22.5,268.8,
6.9,-2.5,-13.8,257.5,
7.3,-0.5,-13.8,216.3,
4.0,9.8,-7.5,203.8,
-3.1,15.5,3.8,216.3,
-8.0,7.1,7.5,223.8,
-4.1,-9.0,12.5,193.8,
5.3,-15.3,16.3,141.3,
12.5,-8.5,18.8,126.3,
16.9,-2.9,15.0,141.3,
22.1,-1.6,15.0,123.8,
27.8,5.1,17.5,106.3,
29.9,16.5,18.8,92.5,
28.9,20.0,10.0,91.3,
29.0,16.8,23.8,68.8,
33.0,20.4,12.5,50.0,
37.9,33.4,1.3,17.5,
37.5,47.6,0.0,0.0,
30.3,53.5,-5.0,-22.5,
20.5,45.3,-10.0,-26.3,
15.0,29.1,-6.3,-62.5,
16.4,20.4,-13.8,-86.3,
20.6,30.6,-26.3,-93.8,
23.4,55.1,-25.0,-70.0,
25.8,76.1,-23.8,-18.8,
29.3,86.0,-18.8,18.8,
30.1,93.8,-12.5,3.8,
23.0,105.1,-20.0,8.8,
9.9,109.0,-1.3,21.3,
0.3,97.4,1.3,27.5,
1.0,81.4,3.8,11.3,
8.9,71.6,10.0,13.8,
16.1,63.8,11.3,10.0,
19.8,51.3,22.5,0.0,
21.4,37.5,21.3,-20.0,
22.8,31.5,30.0,-55.0,
25.8,36.6,26.3,-63.8,
31.5,50.1,42.5,-53.8,
36.5,67.5,41.3,-50.0,
