"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-103.0,-129.5,-57.5,-18.8,
-105.3,-130.0,-62.5,-7.5,
-105.8,-127.9,-57.5,1.3,
-104.8,-123.6,-56.3,-3.8,
-102.3,-117.9,-66.3,26.3,
-97.6,-110.3,-67.5,43.8,
-92.0,-102.8,-67.5,28.8,
-88.0,-98.3,-53.8,20.0,
-86.9,-96.8,-53.8,26.3,
-86.8,-95.4,-53.8,62.5,
-85.4,-92.0,-51.3,78.8,
-83.1,-87.4,-56.3,81.3,
-81.4,-83.9,-45.0,56.3,
-80.8,-82.5,-40.0,37.5,
-81.3,-82.5,-35.0,26.3,
-82.0,-81.9,-33.8,21.3,
-81.5,-79.5,-28.8,33.8,
-81.3,-77.9,-25.0,35.0,
-83.5,-79.0,-25.0,42.5,
-86.1,-80.1,-25.0,57.5,
-85.8,-78.6,-20.0,32.5,
-81.6,-75.1,-18.8,0.0,
-76.3,-71.1,-17.5,-15.0,
-72.8,-67.9,-7.5,-42.5,
-70.4,-64.1,-7.5,-53.8,
-67.5,-59.0,-11.3,-61.3,
-64.9,-54.6,-12.5,-88.8,
-63.6,-52.1,-7.5,-117.5,
-62.8,-50.0,-10.0,-137.5,
-60.5,-46.6,-11.3,-148.8,
-57.4,-42.4,-23.8,-146.3,
-55.0,-38.6,-17.5,-135.0,
-54.5,-37.1,-18.8,-123.8,
-55.9,-38.4,-26.3,-103.8,
-58.6,-41.3,-13.8,-91.3,
-61.3,-44.4,-20.0,-88.8,
-61.6,-45.9,-22.5,-81.3,
-59.9,-45.8,-18.8,-87.5,
-58.6,-46.5,-2.5,-86.3,
-58.4,-48.3,-6.3,-76.3,
-57.5,-49.4,-1.3,-68.8,
-56.4,-50.4,0.0,-61.3,
-57.1,-53.3,10.0,-75.0,
-60.8,-59.0,10.0,-83.8,
-66.0,-66.4,25.0,-78.8,
-71.3,-73.1,33.8,-71.3,
-75.3,-76.8,42.5,-58.8,
-76.9,-75.4,37.5,-42.5,
-75.5,-69.5,35.0,-48.8,
-72.1,-62.1,45.0,-55.0,
-69.0,-56.1,36.3,-68.8,
-66.3,-51.6,37.5,-73.8,
-63.4,-48.1,40.0,-68.8,
-60.0,-44.6,30.0,-60.0,
-55.3,-39.4,38.8,-48.8,
-51.1,-34.8,27.5,-55.0,
-51.0,-34.6,31.3,-85.0,
-53.9,-37.8,33.8,-92.5,
-54.8,-39.8,23.8,-88.8,
-51.8,-39.3,22.5,-81.3,
-48.5,-38.9,27.5,-67.5,
-47.6,-39.6,27.5,-37.5,
-48.1,-39.5,30.0,-20.0,
-48.6,-37.8,33.8,-16.3,
-48.9,-35.3,35.0,-7.5,
-48.5,-31.3,37.5,7.5,
-47.0,-25.4,36.3,21.3,
-44.4,-19.1,31.3,21.3,
-40.3,-14.8,41.3,10.0,
-35.3,-13.3,37.5,6.3,
-30.8,-13.3,26.3,13.8,
-27.6,-12.4,22.5,8.8,
-25.5,-9.9,26.3,0.0,
-22.9,-5.3,12.5,23.8,
-17.5,2.4,10.0,45.0,
-9.5,11.1,-5.0,48.8,
-1.6,18.0,-6.3,28.8,
4.3,22.4,-12.5,31.3,
9.0,26.3,-26.3,42.5,
14.0,31.0,-38.8,65.0,
17.9,34.4,-36.3,61.3,
18.4,34.0,-45.0,70.0,
15.6,31.3,-48.8,83.8,
12.4,29.3,-52.5,100.0,
9.8,28.4,-51.3,122.5,
6.9,26.8,-47.5,130.0,
4.3,24.5,-52.5,148.8,
2.9,23.1,-46.3,168.8,
1.8,22.8,-47.5,190.0,
0.3,23.3,-37.5,197.5,
-0.8,25.0,-43.8,195.0,
-2.0,26.1,-40.0,170.0,
-4.9,25.3,-28.8,182.5,
-8.3,24.5,-32.5,197.5,
-10.3,26.4,-28.8,216.3,
-10.0,30.0,-32.5,207.5,
-7.0,33.0,-32.5,208.8,
-2.9,34.3,-37.5,218.8,
-1.1,33.1,-30.0,218.8,
-3.1,29.8,-30.0,203.8,
-5.5,26.9,-37.5,210.0,
-4.1,27.5,-37.5,221.3,
1.0,31.6,-47.5,220.0,
5.8,36.3,-42.5,191.3,
6.6,39.0,-36.3,185.0,
4.3,40.5,-37.5,198.8,
2.0,42.9,-30.0,203.8,
3.4,46.8,-33.8,191.3,
9.1,49.9,-46.3,162.5,
15.5,49.9,-41.3,105.0,
19.4,48.8,-42.5,80.0,
22.6,51.0,-52.5,68.8,
26.4,56.8,-56.3,53.8,
29.6,61.8,-57.5,47.5,
33.4,64.0,-62.5,32.5,
38.3,64.3,-57.5,5.0,
42.6,64.0,-62.5,-15.0,
45.4,64.5,-57.5,-18.8,
46.1,64.6,-63.8,1.3,
45.8,63.8,-60.0,25.0,
45.0,61.6,-56.3,26.3,
42.1,56.1,-51.3,6.3,
36.6,47.9,-42.5,3.8,
31.5,42.0,-42.5,33.8,
29.5,39.6,-33.8,72.5,
28.8,36.9,-16.3,92.5,
26.8,32.8,-8.8,132.5,
23.8,30.8,-7.5,233.8,
19.9,31.6,-6.3,390.0,
15.3,32.1,-1.3,542.5,
12.0,29.3,7.5,622.5,
13.0,23.8,15.0,462.5,
19.4,19.8,16.3,63.8,
28.6,19.9,25.0,-296.3,
35.9,22.9,26.3,-451.3,
39.3,27.4,30.0,-446.3,
40.4,33.0,35.0,-372.5,
41.6,39.6,27.5,-271.3,
44.4,47.0,16.3,-177.5,
48.9,54.3,7.5,-102.5,
53.8,59.0,3.8,-92.5,
56.8,59.4,1.3,-117.5,
58.0,56.9,-5.0,-105.0,
58.9,54.1,-8.8,-86.3,
58.5,51.1,-13.8,-83.8,
56.4,47.8,-11.3,-58.8,
54.3,45.4,-12.5,-42.5,
53.3,43.5,-8.8,-42.5,
52.9,40.8,-6.3,-48.8,
52.5,37.5,-6.3,-47.5,
52.8,34.9,-1.3,-28.8,
55.5,33.3,1.3,-25.0,
59.4,31.0,13.8,-30.0,
61.3,27.5,16.3,0.0,
61.5,25.6,15.0,8.8,
62.4,27.5,16.3,21.3,
65.6,32.6,22.5,56.3,
71.8,39.8,22.5,52.5,
79.0,47.1,30.0,55.0,
86.1,54.4,23.8,82.5,
92.8,61.5,28.8,83.8,
98.4,68.3,25.0,75.0,
103.9,75.9,27.5,53.8,
109.9,83.8,40.0,35.0,
116.0,88.9,35.0,40.0,
122.0,90.3,50.0,45.0,
126.8,88.6,53.8,27.5,
130.5,87.4,47.5,22.5,
134.5,89.3,61.3,17.5,
138.6,92.6,55.0,16.3,
142.4,94.8,52.5,10.0,
145.1,95.0,63.8,-1.3,
146.1,95.5,66.3,-5.0,
146.5,99.8,70.0,15.0,
147.3,107.8,58.8,28.8,
148.4,115.3,62.5,32.5,
149.1,118.9,61.3,18.8,
149.1,119.5,60.0,26.3,
149.0,120.1,55.0,36.3,
149.9,122.3,56.3,45.0,
150.6,123.8,58.8,31.3,
148.9,122.1,57.5,31.3,
144.3,117.9,51.3,38.8,
137.3,111.8,50.0,32.5,
128.8,104.8,47.5,8.8,
119.1,97.0,46.3,-15.0,
108.1,87.8,35.0,-52.5,
96.4,76.9,46.3,-78.8,
86.1,67.1,47.5,-95.0,
