"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-25.0,-21.3,23.8,-63.8,
-21.6,-12.9,43.8,-47.5,
-19.1,-10.3,3.8,-2.5,
-13.3,-5.1,-20.0,63.8,
-4.6,6.3,-28.8,86.3,
2.8,19.8,-47.5,162.5,
6.1,35.9,-91.3,333.8,
5.0,53.3,-110.0,562.5,
4.4,64.1,-113.8,768.8,
11.1,67.9,-146.3,720.0,
25.1,70.3,-165.0,337.5,
39.0,73.1,-167.5,-97.5,
47.8,75.8,-178.8,-337.5,
50.5,77.9,-178.8,-386.3,
47.6,77.8,-166.3,-331.3,
41.8,73.8,-155.0,-218.8,
37.0,68.0,-156.3,-113.8,
35.5,63.6,-135.0,7.5,
35.9,59.8,-120.0,58.8,
37.6,55.9,-112.5,57.5,
42.1,53.9,-96.3,88.8,
47.9,52.4,-80.0,110.0,
51.8,49.3,-73.8,100.0,
53.5,46.0,-63.8,133.8,
55.6,45.8,-53.8,173.8,
59.9,49.4,-41.3,196.3,
65.5,54.9,-28.8,175.0,
70.1,58.5,-13.8,168.8,
71.9,57.9,3.8,175.0,
72.1,55.1,5.0,186.3,
73.4,54.9,13.8,181.3,
75.9,58.3,25.0,172.5,
79.1,63.3,27.5,160.0,
81.9,67.6,46.3,167.5,
81.1,69.6,62.5,162.5,
77.4,70.0,67.5,152.5,
76.6,71.0,78.8,176.3,
82.3,73.6,86.3,197.5,
91.3,77.5,103.8,206.3,
99.3,81.3,100.0,195.0,
104.8,84.0,117.5,185.0,
108.3,85.1,113.8,173.8,
109.6,84.4,123.8,157.5,
108.5,82.8,118.8,158.8,
106.8,82.4,121.3,161.3,
106.3,84.1,126.3,128.8,
106.6,86.0,123.8,111.3,
106.5,86.5,120.0,125.0,
105.4,85.5,117.5,143.8,
102.8,82.9,122.5,128.8,
98.8,79.4,117.5,131.3,
95.3,75.5,116.3,123.8,
91.4,71.5,108.8,120.0,
84.4,67.8,118.8,131.3,
74.8,63.5,108.8,152.5,
65.8,57.6,106.3,165.0,
59.0,50.3,110.0,165.0,
53.4,42.3,110.0,135.0,
48.1,34.9,102.5,148.8,
43.5,28.5,98.8,148.8,
39.5,21.8,98.8,143.8,
36.4,14.6,87.5,148.8,
34.8,9.6,88.8,163.8,
34.1,8.1,81.3,165.0,
34.1,9.6,65.0,162.5,
34.8,11.9,68.8,151.3,
35.6,13.5,66.3,146.3,
36.5,15.0,48.8,145.0,
37.1,17.1,53.8,125.0,
38.0,19.8,50.0,103.8,
39.9,23.5,48.8,103.8,
40.9,27.6,60.0,100.0,
40.3,30.5,61.3,111.3,
40.5,32.0,55.0,96.3,
43.3,33.8,52.5,82.5,
47.3,37.4,53.8,66.3,
50.9,42.6,42.5,38.8,
52.5,47.5,45.0,3.8,
51.1,49.3,37.5,-32.5,
46.1,47.4,41.3,-57.5,
37.9,42.9,32.5,-70.0,
28.4,36.9,36.3,-38.8,
18.8,29.6,27.5,-26.3,
9.3,20.8,27.5,-16.3,
0.3,10.5,26.3,11.3,
-9.3,-0.5,26.3,32.5,
-21.3,-12.4,26.3,28.8,
-35.0,-25.6,35.0,37.5,
-47.9,-39.6,47.5,12.5,
-57.3,-52.6,48.8,-5.0,
-63.8,-63.4,50.0,-12.5,
-70.0,-73.0,68.8,-37.5,
-75.8,-83.1,77.5,-38.8,
-80.5,-94.0,95.0,-22.5,
-85.6,-105.1,112.5,-40.0,
-91.8,-115.4,130.0,-38.8,
-97.9,-122.6,132.5,-23.8,
-102.4,-124.4,126.3,-30.0,
-105.6,-121.4,113.8,-45.0,
-109.0,-116.9,101.3,-63.8,
-111.6,-111.9,82.5,-95.0,
-111.6,-104.3,51.3,-125.0,
-108.4,-92.6,26.3,-147.5,
-102.5,-77.9,-6.3,-141.3,
-95.5,-62.8,-37.5,-146.3,
-89.3,-50.3,-65.0,-140.0,
-84.6,-42.3,-73.8,-161.3,
-80.5,-37.4,-85.0,-162.5,
-75.1,-32.6,-105.0,-145.0,
-68.6,-27.0,-110.0,-125.0,
-63.5,-22.6,-118.8,-110.0,
-61.4,-21.4,-127.5,-83.8,
-61.1,-22.6,-130.0,-82.5,
-61.8,-25.6,-123.8,-97.5,
-64.8,-30.6,-117.5,-128.8,
-69.5,-37.9,-106.3,-125.0,
-72.3,-45.4,-85.0,-95.0,
-71.3,-51.0,-83.8,-65.0,
-68.4,-55.4,-58.8,-47.5,
-65.5,-59.0,-45.0,-25.0,
-62.4,-61.0,-36.3,-2.5,
-58.9,-61.5,-28.8,27.5,
-55.9,-60.9,-21.3,56.3,
-53.6,-59.8,-17.5,78.8,
-52.3,-59.9,-10.0,92.5,
-51.0,-61.4,-3.8,111.3,
-48.9,-61.5,1.3,107.5,
-44.8,-57.6,2.5,92.5,
-39.5,-52.1,16.3,56.3,
-35.8,-50.4,40.0,28.8,
-32.8,-52.1,42.5,3.8,
-28.1,-52.6,33.8,-1.3,
-23.4,-49.8,31.3,-55.0,
-20.5,-45.3,26.3,-93.8,
-18.3,-39.6,21.3,-105.0,
-15.0,-32.8,21.3,-97.5,
-12.0,-28.0,37.5,-126.3,
-11.1,-29.6,60.0,-175.0,
-12.3,-38.1,80.0,-185.0,
-14.1,-49.3,96.3,-170.0,
-15.4,-57.4,106.3,-143.8,
-14.8,-59.3,105.0,-152.5,
-11.4,-54.5,98.8,-121.3,
-5.5,-44.5,83.8,-96.3,
1.1,-31.1,47.5,-67.5,
8.4,-13.6,15.0,-23.8,
17.3,7.1,-17.5,-5.0,
24.9,26.5,-50.0,48.8,
26.4,41.0,-80.0,227.5,
21.0,51.1,-118.8,482.5,
13.5,58.3,-145.0,706.3,
10.8,61.9,-157.5,746.3,
15.6,61.6,-171.3,425.0,
23.5,58.3,-183.8,-68.8,
28.3,53.3,-181.3,-393.8,
27.1,47.5,-170.0,-486.3,
21.5,40.3,-151.3,-455.0,
14.0,30.1,-130.0,-367.5,
6.6,16.8,-105.0,-280.0,
0.8,3.1,-93.8,-190.0,
-1.5,-5.5,-86.3,-118.8,
0.8,-6.9,-90.0,-135.0,
4.4,-5.0,-77.5,-147.5,
4.6,-6.0,-63.8,-102.5,
-0.1,-12.1,-42.5,-88.8,
-7.6,-22.1,-18.8,-85.0,
-15.0,-35.1,23.8,-103.8,
-22.6,-50.6,62.5,-123.8,
-32.0,-67.1,100.0,-132.5,
-40.4,-81.8,126.3,-113.8,
-42.9,-90.6,130.0,-113.8,
-39.1,-91.4,146.3,-161.3,
-32.9,-86.0,160.0,-201.3,
-28.0,-79.5,165.0,-197.5,
-25.0,-73.3,162.5,-176.3,
-21.9,-64.8,153.8,-145.0,
-17.8,-52.3,123.8,-106.3,
-12.9,-36.4,80.0,-96.3,
-7.1,-19.3,46.3,-105.0,
-1.8,-2.0,12.5,-77.5,
1.8,15.9,-35.0,-40.0,
4.4,33.0,-65.0,-8.8,
7.8,46.3,-85.0,8.8,
10.4,53.3,-105.0,20.0,
11.1,55.4,-115.0,15.0,
10.5,55.4,-107.5,8.8,
9.5,53.6,-122.5,30.0,
10.8,51.8,-123.8,50.0,
13.3,51.5,-132.5,53.8,
13.3,51.5,-141.3,40.0,
10.4,50.6,-131.3,57.5,
7.8,48.3,-118.8,48.8,
7.0,43.9,-92.5,28.8,
6.8,37.3,-80.0,20.0,
5.1,28.8,-63.8,40.0,
2.3,20.6,-58.8,35.0,
0.4,15.4,-45.0,11.3,
1.3,13.1,-31.3,7.5,
4.4,12.6,-25.0,20.0,
7.6,13.3,0.0,48.8,
10.3,13.8,10.0,67.5,
12.6,11.8,23.8,56.3,
14.9,7.5,23.8,80.0,
17.3,5.1,16.3,95.0,
19.9,8.1,2.5,90.0,
22.6,16.8,-7.5,66.3,
26.8,28.6,-26.3,77.5,
32.5,40.0,-35.0,95.0,
37.1,47.1,-32.5,125.0,
38.0,48.9,-32.5,120.0,
36.0,48.1,-41.3,120.0,
35.1,49.1,-40.0,146.3,
37.3,52.8,-47.5,173.8,
38.8,55.4,-31.3,170.0,
37.1,53.3,-27.5,167.5,
34.9,47.3,-13.8,193.8,
34.6,41.4,-5.0,202.5,
36.1,38.4,2.5,220.0,
38.6,37.9,1.3,192.5,
40.3,37.4,5.0,155.0,
39.0,35.5,25.0,127.5,
35.5,33.0,27.5,123.8,
32.6,32.0,30.0,117.5,
33.1,34.9,17.5,105.0,
37.1,40.8,16.3,67.5,
42.5,46.8,16.3,72.5,
48.0,52.1,10.0,86.3,
52.0,57.4,-3.8,106.3,
53.8,61.5,-6.3,113.8,
55.6,65.4,-11.3,125.0,
59.8,71.1,-25.0,121.3,
64.1,77.9,-30.0,101.3,
65.6,81.6,-25.0,90.0,
63.6,79.0,-20.0,96.3,
60.8,72.6,-20.0,110.0,
60.8,69.3,-35.0,111.3,
64.3,70.4,-28.8,88.8,
67.9,72.1,-26.3,85.0,
70.0,72.3,-17.5,88.8,
71.5,70.1,-12.5,77.5,
73.4,65.8,0.0,86.3,
74.9,61.5,-1.3,107.5,
74.9,59.8,-6.3,120.0,
73.6,60.5,-3.8,125.0,
72.3,62.1,-1.3,81.3,
70.8,62.5,2.5,80.0,
69.8,62.0,-2.5,86.3,
71.5,62.6,-2.5,91.3,
76.0,64.6,-2.5,73.8,
79.8,67.0,-13.8,82.5,
81.8,71.0,-18.8,86.3,
84.0,77.1,-31.3,87.5,
86.8,83.0,-33.8,78.8,
87.5,87.0,-37.5,75.0,
85.4,90.0,-37.5,112.5,
83.3,92.9,-45.0,120.0,
83.8,95.0,-42.5,107.5,
87.0,95.8,-47.5,102.5,
92.1,96.4,-41.3,121.3,
97.6,97.0,-37.5,138.8,
101.4,94.4,-33.8,155.0,
102.0,86.6,-25.0,162.5,
99.5,76.4,-10.0,185.0,
95.5,67.3,6.3,176.3,
91.5,59.4,13.8,137.5,
87.4,52.3,25.0,115.0,
83.6,47.9,21.3,107.5,
81.9,48.5,36.3,87.5,
82.0,52.5,35.0,70.0,
81.6,55.1,37.5,23.8,
77.9,51.8,58.8,-12.5,
70.1,41.9,68.8,-15.0,
62.4,30.4,72.5,7.5,
58.4,22.3,86.3,17.5,
56.9,17.5,97.5,11.3,
54.5,12.8,102.5,17.5,
50.0,7.3,110.0,22.5,
45.3,4.8,103.8,41.3,
42.8,7.1,103.8,32.5,
42.0,12.4,103.8,-11.3,
40.8,18.8,103.8,-26.3,
38.1,24.6,101.3,-31.3,
34.6,27.6,98.8,-25.0,
29.8,26.8,103.8,-12.5,
23.0,23.9,100.0,56.3,
15.1,22.3,83.8,231.3,
6.8,22.5,78.8,415.0,
-0.1,22.3,63.8,577.5,
-4.6,17.9,70.0,531.3,
-8.0,8.8,70.0,148.8,
-10.5,-1.5,62.5,-347.5,
-11.9,-8.8,57.5,-617.5,
-13.0,-11.0,43.8,-658.8,
-15.0,-9.8,30.0,-577.5,
-19.0,-7.4,16.3,-473.8,
-25.4,-5.6,7.5,-371.3,
-33.0,-6.5,10.0,-257.5,
-40.0,-11.0,-5.0,-198.8,
-46.0,-17.0,5.0,-190.0,
-51.6,-22.6,0.0,-181.3,
-56.4,-27.0,2.5,-137.5,
-58.6,-29.6,-1.3,-112.5,
-59.3,-31.6,-3.8,-87.5,
-61.1,-34.8,8.8,-61.3,
-65.3,-39.1,16.3,-61.3,
-69.4,-44.1,11.3,-72.5,
-71.9,-49.0,13.8,-38.8,
-74.3,-52.5,13.8,-7.5,
-77.9,-54.6,18.8,-7.5,
-82.1,-56.0,18.8,-7.5,
-85.8,-57.4,20.0,-10.0,
-88.6,-60.1,21.3,-17.5,
-91.0,-63.9,12.5,0.0,
-93.8,-66.8,7.5,33.8,
-97.8,-68.4,8.8,43.8,
-102.5,-69.9,-3.8,52.5,
-107.0,-72.9,-3.8,56.3,
-110.8,-78.3,-5.0,60.0,
-113.6,-85.5,2.5,35.0,
-114.9,-93.0,0.0,7.5,
-114.8,-100.0,-5.0,-35.0,
-115.9,-107.1,-3.8,-63.8,
-118.8,-113.8,-6.3,-55.0,
-120.4,-118.3,-5.0,-57.5,
-119.3,-120.4,-13.8,-72.5,
-117.6,-121.8,-12.5,-108.8,
-117.8,-123.3,-11.3,-118.8,
-119.5,-123.8,-15.0,-126.3,
-121.4,-122.8,-8.8,-112.5,
-122.3,-120.9,-20.0,-88.8,
-120.0,-117.8,-30.0,-61.3,
-113.6,-112.3,-26.3,-43.8,
-105.8,-105.3,-27.5,-43.8,
-100.5,-99.5,-28.8,-36.3,
-98.4,-97.0,-23.8,-36.3,
-98.1,-97.6,-6.3,-50.0,
-98.3,-99.9,10.0,-60.0,
-97.1,-102.1,21.3,-77.5,
-94.5,-104.4,41.3,-82.5,
-90.5,-106.9,47.5,-112.5,
-86.3,-108.3,61.3,-140.0,
-82.8,-106.6,62.5,-147.5,
-79.8,-101.6,60.0,-133.8,
-76.4,-94.3,56.3,-85.0,
-72.0,-85.6,47.5,-50.0,
-66.5,-76.1,42.5,-41.3,
-61.0,-66.8,35.0,-45.0,
-56.6,-58.9,32.5,-43.8,
-52.5,-52.8,32.5,-38.8,
-47.9,-48.0,35.0,-48.8,
-43.1,-45.5,51.3,-60.0,
-39.8,-45.6,58.8,-63.8,
-38.3,-46.6,51.3,-52.5,
-36.5,-46.0,60.0,-36.3,
-32.1,-42.6,52.5,-42.5,
-25.5,-37.1,50.0,-63.8,
-19.5,-30.6,51.3,-100.0,
-15.6,-24.4,48.8,-118.8,
-13.3,-19.8,46.3,-127.5,
-10.6,-17.8,36.3,-111.3,
-6.6,-17.0,28.8,-96.3,
-2.6,-16.1,30.0,-88.8,
0.9,-14.9,22.5,-80.0,
4.9,-13.1,22.5,-86.3,
7.6,-11.1,26.3,-80.0,
7.4,-8.6,21.3,-77.5,
5.8,-5.1,18.8,-52.5,
5.9,-0.4,11.3,-27.5,
9.6,5.1,10.0,8.8,
16.5,9.5,2.5,32.5,
25.8,12.1,15.0,61.3,
36.6,14.8,22.5,43.8,
45.3,17.9,26.3,52.5,
51.8,20.9,32.5,91.3,
61.5,25.6,40.0,130.0,
74.4,34.1,51.3,136.3,
82.4,44.0,45.0,148.8,
79.3,51.9,50.0,177.5,
70.3,60.5,40.0,225.0,
64.3,73.6,43.8,227.5,
63.0,88.0,32.5,185.0,
63.3,99.0,23.8,156.3,
62.0,106.5,23.8,100.0,
60.5,111.6,27.5,40.0,
62.3,113.5,28.8,-28.8,
70.0,109.9,28.8,-50.0,
82.3,103.0,21.3,-30.0,
91.4,96.5,13.8,1.3,
92.0,89.6,16.3,-6.3,
87.1,80.8,26.3,-10.0,
80.4,71.1,26.3,-3.8,
73.5,62.5,15.0,17.5,
68.8,55.0,18.8,25.0,
66.4,47.9,10.0,32.5,
64.9,42.4,3.8,17.5,
64.3,38.9,-1.3,-22.5,
66.1,35.3,-18.8,-33.8,
69.6,31.5,-36.3,-5.0,
69.8,28.9,-56.3,45.0,
64.8,28.9,-67.5,102.5,
58.9,32.1,-76.3,106.3,
55.1,35.9,-83.8,102.5,
52.1,36.4,-82.5,56.3,
48.6,33.3,-82.5,2.5,
46.8,29.9,-88.8,-40.0,
46.8,28.6,-78.8,-81.3,
45.4,28.9,-77.5,-128.8,
43.1,29.0,-72.5,-168.8,
43.3,27.8,-80.0,-188.8,
45.1,24.8,-76.3,-185.0,
45.6,21.1,-80.0,-175.0,
44.8,18.9,-77.5,-165.0,
43.1,18.4,-73.8,-160.0,
40.6,18.6,-72.5,-131.3,
39.1,19.0,-62.5,-96.3,
40.9,18.6,-68.8,-55.0,
45.3,16.8,-71.3,-50.0,
48.3,14.1,-83.8,-71.3,
46.1,10.8,-86.3,-95.0,
42.5,7.4,-102.5,-72.5,
42.6,5.6,-111.3,-16.3,
44.6,6.6,-130.0,90.0,
42.9,10.4,-155.0,288.8,
35.5,15.4,-150.0,518.8,
26.5,19.6,-132.5,705.0,
22.5,22.5,-112.5,643.8,
24.9,23.4,-78.8,200.0,
28.4,21.3,-57.5,-265.0,
27.9,16.9,-18.8,-468.8,
23.6,13.8,3.8,-487.5,
17.6,13.8,18.8,-447.5,
11.0,13.3,38.8,-405.0,
5.1,8.9,40.0,-325.0,
1.5,2.6,45.0,-203.8,
0.0,-1.5,38.8,-122.5,
-2.3,-2.1,41.3,-101.3,
-7.1,-0.9,25.0,-32.5,
-11.0,0.6,17.5,20.0,
-10.3,1.9,17.5,18.8,
-6.3,3.1,8.8,47.5,
-1.3,5.5,2.5,128.8,
4.4,8.6,-10.0,180.0,
9.6,10.3,-31.3,228.8,
13.3,9.6,-33.8,273.8,
16.8,7.9,-47.5,316.3,
22.3,7.0,-56.3,331.3,
29.9,8.6,-83.8,335.0,
36.8,12.9,-80.0,298.8,
38.4,17.3,-77.5,230.0,
33.9,18.5,-85.0,220.0,
26.5,16.6,-91.3,183.8,
18.8,14.8,-88.8,148.8,
11.5,16.0,-92.5,107.5,
4.3,18.5,-90.0,78.8,
-2.5,18.5,-85.0,82.5,
-6.6,17.0,-81.3,98.8,
-8.4,16.1,-73.8,117.5,
-10.0,16.0,-63.8,150.0,
-12.9,15.8,-50.0,143.8,
-15.9,15.6,-47.5,132.5,
-19.3,16.3,-42.5,107.5,
-25.4,15.8,-37.5,78.8,
-34.8,13.4,-21.3,81.3,
-44.5,10.0,-13.8,87.5,
-51.8,6.6,-10.0,127.5,
-56.5,3.6,3.8,136.3,
-59.3,-0.4,22.5,137.5,
-59.1,-4.6,33.8,145.0,
-56.9,-7.5,40.0,168.8,
-55.9,-10.8,51.3,177.5,
-58.0,-15.6,58.8,153.8,
-60.9,-21.3,68.8,125.0,
-61.9,-26.5,60.0,126.3,
-60.9,-28.8,62.5,141.3,
-59.1,-25.8,56.3,146.3,
-56.9,-19.1,45.0,116.3,
-55.1,-13.5,36.3,57.5,
-55.3,-11.4,26.3,25.0,
-57.6,-11.6,26.3,-1.3,
-61.5,-12.4,27.5,-33.8,
-65.3,-13.0,26.3,-56.3,
-70.3,-13.3,13.8,-63.8,
-77.9,-13.0,16.3,-101.3,
-84.0,-13.1,11.3,-111.3,
-83.3,-15.8,18.8,-128.8,
-76.6,-21.5,11.3,-153.8,
-71.6,-28.0,23.8,-141.3,
-74.0,-31.6,23.8,-158.8,
-82.4,-32.4,32.5,-150.0,
-89.5,-33.5,33.8,-130.0,
-89.9,-36.1,32.5,-97.5,
-85.4,-38.8,42.5,-87.5,
-81.4,-42.0,42.5,-88.8,
-81.1,-46.4,52.5,-87.5,
-85.3,-50.6,50.0,-86.3,
-90.5,-53.9,52.5,-70.0,
-92.3,-56.0,48.8,-23.8,
-90.6,-57.8,42.5,5.0,
-88.3,-60.1,35.0,3.8,
-87.4,-63.6,43.8,-15.0,
-89.1,-67.6,42.5,-15.0,
-91.9,-70.9,28.8,22.5,
-92.3,-72.4,15.0,46.3,
-88.0,-72.3,12.5,62.5,
-82.0,-71.1,12.5,38.8,
-79.5,-69.8,-3.8,36.3,
-81.1,-68.1,-12.5,71.3,
-80.9,-65.0,-15.0,77.5,
-74.9,-59.9,-25.0,62.5,
-67.0,-54.8,-38.8,43.8,
-60.8,-52.1,-48.8,36.3,
-54.6,-50.3,-72.5,45.0,
-48.1,-45.9,-75.0,37.5,
-43.1,-39.3,-75.0,26.3,
-40.6,-34.8,-78.8,56.3,
-39.6,-35.5,-67.5,90.0,
-38.5,-39.8,-62.5,103.8,
-36.4,-43.5,-63.8,73.8,
-33.1,-45.4,-60.0,36.3,
-30.5,-46.8,-46.3,17.5,
-30.3,-49.0,-40.0,3.8,
-31.1,-52.4,-32.5,-12.5,
-30.3,-55.0,-25.0,-17.5,
-26.4,-54.8,-25.0,-20.0,
-21.3,-52.1,-21.3,-37.5,
-18.3,-49.8,-18.8,-52.5,
-17.9,-49.5,1.3,-70.0,
-17.0,-50.4,5.0,-66.3,
-13.5,-49.9,-2.5,-61.3,
-9.9,-47.1,6.3,-76.3,
-9.0,-44.5,21.3,-63.8,
-8.8,-43.9,26.3,-6.3,
-6.0,-43.4,21.3,30.0,
-2.0,-39.8,23.8,33.8,
0.0,-34.3,23.8,41.3,
0.4,-30.3,17.5,77.5,
2.1,-27.0,13.8,95.0,
6.5,-19.9,-17.5,131.3,
12.9,-6.4,-47.5,180.0,
19.5,9.1,-51.3,198.8,
24.0,20.1,-52.5,207.5,
25.4,23.8,-47.5,203.8,
24.5,22.3,-42.5,178.8,
23.5,20.5,-50.0,157.5,
22.9,21.5,-50.0,131.3,
22.9,23.1,-23.8,81.3,
25.6,20.6,-1.3,51.3,
29.9,12.9,16.3,3.8,
31.0,3.9,25.0,-1.3,
28.8,-1.9,31.3,26.3,
26.8,-3.8,40.0,48.8,
26.9,-3.6,46.3,48.8,
27.9,-1.9,37.5,45.0,
27.9,1.8,38.8,42.5,
26.8,5.5,37.5,56.3,
26.5,6.9,46.3,68.8,
28.4,4.8,68.8,75.0,
30.9,-0.9,80.0,98.8,
31.4,-9.0,98.8,145.0,
29.3,-15.9,103.8,206.3,
26.5,-17.4,111.3,220.0,
23.9,-13.5,106.3,272.5,
18.8,-7.5,102.5,450.0,
11.0,-2.8,98.8,655.0,
6.1,-1.5,95.0,802.5,
8.0,-2.9,86.3,717.5,
14.0,-3.9,82.5,281.3,
20.5,-1.9,81.3,-247.5,
25.5,1.9,77.5,-497.5,
28.4,4.9,73.8,-472.5,
29.1,8.0,55.0,-315.0,
28.8,12.0,65.0,-196.3,
27.9,14.6,63.8,-161.3,
26.8,14.3,50.0,-75.0,
25.9,13.1,47.5,-13.8,
24.9,13.6,56.3,-7.5,
23.1,15.4,52.5,2.5,
19.9,15.4,57.5,15.0,
15.5,11.5,65.0,2.5,
10.5,5.0,76.3,-7.5,
5.8,-1.9,81.3,27.5,
3.3,-7.9,87.5,61.3,
4.4,-11.9,92.5,80.0,
7.4,-13.3,86.3,107.5,
9.1,-12.1,88.8,97.5,
8.0,-9.6,87.5,57.5,
5.0,-6.8,83.8,60.0,
3.5,-2.6,78.8,68.8,
4.5,2.3,78.8,56.3,
6.3,5.8,72.5,70.0,
7.3,7.8,66.3,90.0,
6.6,9.4,67.5,120.0,
5.0,11.1,57.5,137.5,
4.5,13.8,57.5,150.0,
5.8,17.6,50.0,152.5,
7.9,21.8,48.8,133.8,
9.9,24.4,47.5,118.8,
10.5,24.8,37.5,108.8,
8.8,23.5,45.0,85.0,
6.3,21.5,45.0,87.5,
5.3,19.4,50.0,88.8,
5.5,17.1,48.8,73.8,
5.3,14.9,57.5,68.8,
3.1,12.8,65.0,57.5,
0.9,11.3,57.5,73.8,
2.6,11.6,51.3,102.5,
7.4,13.6,46.3,108.8,
10.4,15.6,43.8,90.0,
11.5,17.4,38.8,87.5,
14.1,21.0,36.3,100.0,
18.4,26.5,25.0,121.3,
21.9,31.5,22.5,110.0,
23.6,33.9,21.3,86.3,
24.5,33.5,30.0,56.3,
25.3,31.8,28.8,48.8,
25.6,29.9,38.8,30.0,
26.5,28.0,31.3,31.3,
29.0,26.9,31.3,31.3,
32.0,27.1,36.3,33.8,
34.3,28.8,27.5,41.3,
37.0,30.6,36.3,13.8,
40.8,31.5,37.5,-36.3,
43.1,30.6,45.0,-87.5,
42.5,28.4,43.8,-101.3,
41.3,26.4,37.5,-73.8,
42.8,26.5,38.8,-66.3,
46.9,28.9,43.8,-73.8,
50.9,31.6,41.3,-105.0,
52.9,32.9,52.5,-120.0,
53.1,32.4,51.3,-101.3,
53.5,32.3,52.5,-86.3,
55.5,34.3,47.5,-73.8,
58.4,37.6,47.5,-90.0,
58.9,40.4,47.5,-128.8,
56.6,41.4,38.8,-155.0,
55.1,40.6,45.0,-182.5,
55.9,39.1,43.8,-200.0,
57.5,37.5,42.5,-216.3,
57.9,35.6,31.3,-223.8,
56.4,33.4,33.8,-222.5,
53.8,31.6,32.5,-223.8,
51.4,30.8,26.3,-215.0,
51.0,31.3,23.8,-215.0,
