"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-10.9,-21.0,67.5,-86.3,
-13.0,-26.5,-21.3,-83.8,
-11.1,-26.6,-10.0,-58.8,
-9.8,-28.4,3.8,-3.8,
-9.5,-30.4,-47.5,38.8,
-7.6,-28.6,-58.8,65.0,
-3.9,-25.9,-58.8,106.3,
0.8,-22.4,-110.0,127.5,
5.9,-15.0,-177.5,163.8,
10.5,-5.9,-206.3,243.8,
14.4,2.1,-265.0,308.8,
18.0,11.3,-321.3,331.3,
20.8,21.1,-316.3,325.0,
21.6,27.5,-321.3,351.3,
22.3,30.9,-341.3,388.8,
24.3,34.9,-348.8,402.5,
26.6,39.1,-343.8,393.8,
28.5,42.4,-358.8,362.5,
30.9,46.1,-387.5,333.8,
34.3,51.4,-387.5,313.8,
37.8,57.1,-401.3,301.3,
41.1,62.9,-403.8,300.0,
43.5,67.3,-385.0,272.5,
43.5,68.5,-356.3,230.0,
41.5,66.8,-348.8,190.0,
39.8,63.5,-333.8,130.0,
38.4,59.1,-300.0,76.3,
36.8,54.1,-257.5,65.0,
33.8,47.6,-195.0,56.3,
28.1,37.4,-113.8,48.8,
20.6,24.0,-48.8,23.8,
13.4,11.3,12.5,13.8,
7.6,1.1,53.8,48.8,
3.9,-6.8,62.5,113.8,
2.0,-12.1,31.3,171.3,
1.0,-13.9,1.3,247.5,
0.0,-11.4,-37.5,258.8,
-0.6,-5.4,-61.3,238.8,
-0.9,1.0,-38.8,131.3,
-1.8,4.0,7.5,-211.3,
-3.4,2.6,38.8,-513.8,
-4.4,-0.6,51.3,-606.3,
-3.9,-3.0,43.8,-578.8,
-3.3,-4.9,23.8,-508.8,
-3.4,-6.4,-8.8,-463.8,
-3.9,-6.1,-36.3,-433.8,
-5.1,-5.4,-17.5,-357.5,
-8.1,-7.4,13.8,-323.8,
-13.0,-13.4,76.3,-317.5,
-19.5,-22.1,173.8,-283.8,
-27.1,-31.9,272.5,-237.5,
-34.4,-41.0,335.0,-232.5,
-39.0,-46.6,373.8,-232.5,
-40.0,-45.9,397.5,-200.0,
-38.1,-38.5,397.5,-188.8,
-34.0,-28.0,377.5,-175.0,
-29.3,-19.8,351.3,-152.5,
-26.3,-15.6,333.8,-148.8,
-25.5,-12.4,317.5,-165.0,
-25.1,-6.9,316.3,-146.3,
-24.6,-1.0,313.8,-143.8,
-25.6,0.9,333.8,-181.3,
-29.0,-3.5,376.3,-218.8,
-33.6,-12.1,416.3,-262.5,
-36.8,-20.3,418.8,-312.5,
-35.5,-22.9,393.8,-345.0,
-30.3,-17.6,358.8,-351.3,
-25.5,-7.0,373.8,-337.5,
-25.1,2.3,390.0,-318.8,
-29.3,5.4,403.8,-321.3,
-35.0,3.9,396.3,-305.0,
-38.1,2.8,376.3,-267.5,
-36.9,4.6,353.8,-252.5,
-34.0,7.3,340.0,-263.8,
-32.4,7.4,321.3,-278.8,
-30.8,7.0,273.8,-282.5,
-26.0,11.6,176.3,-270.0,
-16.6,23.4,42.5,-227.5,
-5.6,38.3,-72.5,-178.8,
2.8,50.8,-162.5,-125.0,
5.5,58.4,-208.8,-86.3,
0.4,59.3,-190.0,-50.0,
-12.3,51.9,-152.5,-21.3,
-27.6,37.9,-105.0,5.0,
-39.0,23.8,-98.8,10.0,
-42.5,16.9,-131.3,31.3,
-38.4,20.9,-207.5,81.3,
-29.6,33.0,-308.8,131.3,
-20.6,48.6,-410.0,186.3,
-14.1,65.3,-477.5,261.3,
-10.0,80.4,-498.8,302.5,
-8.9,89.4,-472.5,313.8,
-12.9,88.8,-442.5,320.0,
-23.0,78.4,-391.3,355.0,
-36.6,61.1,-321.3,371.3,
-48.8,41.0,-248.8,353.8,
-56.5,20.3,-168.8,342.5,
-61.1,1.3,-123.8,310.0,
-64.3,-11.9,-128.8,291.3,
-65.8,-16.8,-143.8,266.3,
-65.4,-16.4,-148.8,227.5,
-63.0,-14.4,-155.0,207.5,
-59.4,-11.4,-177.5,192.5,
-54.9,-7.0,-226.3,182.5,
-50.1,-1.9,-268.8,166.3,
-47.1,2.8,-308.8,153.8,
-46.6,6.4,-320.0,147.5,
-48.0,8.9,-317.5,125.0,
-48.1,10.3,-320.0,92.5,
-41.0,11.0,-336.3,73.8,
-25.6,11.6,-352.5,61.3,
-10.8,12.3,-381.3,60.0,
-5.0,11.6,-412.5,50.0,
-8.6,9.6,-432.5,48.8,
-16.0,8.0,-455.0,31.3,
-21.9,8.3,-478.8,17.5,
-25.0,10.5,-496.3,21.3,
-26.3,14.9,-491.3,27.5,
-26.8,20.9,-475.0,48.8,
-27.9,27.1,-466.3,70.0,
-30.5,32.9,-493.8,92.5,
-33.4,39.3,-542.5,108.8,
-35.6,46.5,-586.3,141.3,
-38.1,53.5,-615.0,138.8,
-41.5,58.6,-625.0,130.0,
-45.3,60.0,-621.3,132.5,
-50.0,57.1,-582.5,133.8,
-57.3,50.8,-540.0,130.0,
-65.0,42.1,-467.5,108.8,
-67.9,32.6,-406.3,107.5,
-64.3,23.5,-337.5,132.5,
-58.6,15.9,-271.3,147.5,
-56.9,9.5,-197.5,106.3,
-60.1,3.9,-138.8,83.8,
-63.8,0.1,-97.5,93.8,
-63.6,-0.5,-58.8,81.3,
-60.8,1.8,-41.3,50.0,
-59.1,4.4,-12.5,23.8,
-60.5,4.8,21.3,2.5,
-64.0,2.3,56.3,-13.8,
-68.5,-2.5,81.3,-36.3,
-73.1,-8.6,103.8,-73.8,
-77.8,-14.8,126.3,-68.8,
-81.8,-19.9,146.3,-73.8,
-84.1,-24.3,161.3,-85.0,
-85.3,-28.3,181.3,-100.0,
-85.9,-31.4,201.3,-101.3,
-86.5,-33.5,210.0,-103.8,
-86.6,-34.9,200.0,-106.3,
-85.8,-34.8,196.3,-107.5,
-84.6,-33.1,200.0,-121.3,
-84.0,-31.1,207.5,-128.8,
-84.4,-30.1,212.5,-122.5,
-85.1,-30.1,223.8,-102.5,
-84.4,-30.3,220.0,-86.3,
-82.0,-30.3,223.8,-87.5,
-81.0,-30.8,228.8,-111.3,
-82.4,-31.8,233.8,-102.5,
-83.9,-31.9,240.0,-103.8,
-84.6,-31.1,251.3,-102.5,
-85.6,-30.8,267.5,-88.8,
-87.3,-31.3,281.3,-77.5,
-88.8,-31.5,283.8,-63.8,
-88.8,-30.8,295.0,-58.8,
-87.6,-29.4,283.8,-50.0,
-87.6,-28.4,295.0,-53.8,
-89.6,-27.4,297.5,-35.0,
-91.9,-25.9,308.8,-8.8,
-92.3,-23.8,321.3,21.3,
-90.0,-21.5,347.5,32.5,
-87.3,-19.9,348.8,15.0,
-85.5,-18.0,347.5,0.0,
-84.5,-16.0,338.8,-6.3,
-84.3,-15.4,346.3,-5.0,
-85.3,-17.0,360.0,12.5,
-87.4,-20.4,375.0,13.8,
-90.6,-25.0,422.5,13.8,
-95.9,-31.8,486.3,30.0,
-102.3,-41.8,535.0,38.8,
-106.8,-53.5,572.5,38.8,
-107.3,-62.8,582.5,17.5,
-104.4,-66.3,582.5,28.8,
-100.4,-63.8,571.3,63.8,
-96.9,-57.5,562.5,101.3,
-94.4,-50.5,540.0,90.0,
-92.4,-44.3,532.5,70.0,
-89.3,-38.8,523.8,76.3,
-84.4,-34.4,531.3,56.3,
-78.8,-32.3,522.5,13.8,
-73.5,-32.3,535.0,-35.0,
-69.5,-34.9,565.0,-56.3,
-70.0,-44.1,737.5,-53.8,
-78.1,-64.0,918.8,-73.8,
-85.1,-84.6,841.3,-91.3,
-76.6,-84.6,590.0,-88.8,
-51.3,-55.0,297.5,-86.3,
-24.0,-11.6,182.5,-72.5,
-11.6,19.8,207.5,-43.8,
-16.5,27.0,220.0,-18.8,
-29.6,16.5,250.0,-21.3,
-43.1,0.6,281.3,-31.3,
-53.1,-12.4,317.5,-13.8,
-58.3,-20.6,357.5,0.0,
-60.4,-27.4,417.5,-11.3,
-63.6,-36.5,481.3,-17.5,
-69.5,-48.0,537.5,23.8,
-75.3,-59.0,573.8,116.3,
-77.8,-66.8,606.3,212.5,
-77.0,-70.4,613.8,292.5,
-76.5,-71.1,626.3,352.5,
-78.5,-70.1,628.8,368.8,
-80.9,-67.6,621.3,375.0,
-80.9,-63.3,617.5,188.8,
-78.8,-57.6,607.5,-146.3,
-76.5,-52.3,603.8,-318.8,
-74.5,-47.8,590.0,-331.3,
-71.9,-43.1,572.5,-272.5,
-68.4,-38.5,553.8,-195.0,
-63.5,-33.5,507.5,-156.3,
-57.8,-27.6,466.3,-117.5,
-53.0,-22.3,412.5,-106.3,
-49.5,-18.8,346.3,-110.0,
-45.8,-15.5,287.5,-111.3,
-41.4,-11.3,238.8,-71.3,
-37.9,-7.5,201.3,-88.8,
-37.0,-5.6,182.5,-118.8,
-37.3,-5.3,155.0,-107.5,
-36.1,-4.3,125.0,-96.3,
-33.1,-0.9,83.8,-98.8,
-28.5,4.9,36.3,-83.8,
-23.8,10.4,-2.5,-78.8,
-21.1,13.4,-43.8,-81.3,
-19.9,14.9,-82.5,-52.5,
-18.0,16.4,-103.8,-45.0,
-15.3,18.4,-126.3,-45.0,
-12.3,21.4,-146.3,-25.0,
-10.0,24.4,-162.5,-1.3,
-8.9,24.9,-176.3,3.8,
-7.3,22.3,-185.0,-13.8,
-4.9,18.6,-191.3,-23.8,
-4.3,15.6,-190.0,-25.0,
-5.8,13.5,-190.0,-21.3,
-6.6,10.8,-185.0,-17.5,
-5.0,6.3,-177.5,-3.8,
-1.4,1.3,-168.8,17.5,
2.3,-2.8,-165.0,22.5,
5.3,-5.5,-155.0,25.0,
8.4,-7.0,-138.8,25.0,
12.1,-7.1,-127.5,20.0,
21.0,-0.9,-120.0,25.0,
45.9,22.6,-121.3,45.0,
85.8,61.4,-128.8,45.0,
118.9,92.6,-126.3,23.8,
128.3,99.4,-127.5,36.3,
120.1,88.3,-132.5,68.8,
110.8,75.3,-127.5,95.0,
106.3,66.6,-103.8,107.5,
101.8,58.3,-95.0,142.5,
94.9,49.9,-62.5,162.5,
90.0,45.0,-52.5,192.5,
88.6,41.3,-22.5,213.8,
87.1,35.3,-21.3,218.8,
84.9,30.8,-10.0,232.5,
84.3,32.0,3.8,253.8,
84.3,35.0,5.0,258.8,
83.4,34.0,10.0,257.5,
82.1,29.9,17.5,251.3,
81.3,27.1,25.0,237.5,
80.9,27.1,21.3,247.5,
80.8,27.8,30.0,231.3,
79.3,25.9,47.5,205.0,
75.5,22.0,60.0,172.5,
71.1,18.3,70.0,147.5,
67.3,14.5,71.3,122.5,
63.5,10.1,82.5,81.3,
60.1,7.1,83.8,41.3,
57.6,7.0,96.3,10.0,
55.8,7.3,113.8,-6.3,
54.0,6.0,142.5,-23.8,
53.0,4.9,192.5,-37.5,
52.4,4.8,242.5,-68.8,
52.3,4.0,298.8,-93.8,
53.1,2.3,361.3,-121.3,
53.3,0.0,426.3,-158.8,
50.4,-3.1,482.5,-148.8,
45.3,-7.0,542.5,-131.3,
41.1,-10.6,597.5,-137.5,
41.1,-11.9,660.0,-141.3,
43.9,-10.3,723.8,-155.0,
43.9,-10.3,771.3,-147.5,
39.5,-14.6,816.3,-135.0,
35.8,-18.5,847.5,-118.8,
37.3,-15.9,875.0,-103.8,
43.1,-7.4,885.0,-70.0,
48.9,2.1,897.5,-43.8,
49.4,6.6,892.5,-38.8,
43.5,3.5,893.8,-41.3,
35.5,-3.1,868.8,-17.5,
30.6,-6.0,836.3,-12.5,
30.4,-1.5,811.3,-21.3,
32.3,7.0,780.0,-27.5,
32.0,12.1,752.5,-36.3,
27.5,10.8,726.3,-33.8,
22.4,7.9,692.5,-28.8,
21.1,9.6,666.3,-35.0,
23.0,16.4,636.3,-46.3,
25.0,24.5,611.3,-46.3,
26.4,31.1,575.0,-46.3,
28.8,35.5,520.0,-67.5,
31.8,36.4,465.0,-63.8,
32.9,32.1,398.8,-67.5,
33.1,26.0,316.3,-56.3,
36.3,25.4,232.5,-66.3,
42.3,31.8,146.3,-75.0,
47.5,38.8,66.3,-63.8,
49.8,40.9,-3.8,-27.5,
49.1,37.6,-82.5,-30.0,
46.3,31.3,-163.8,-27.5,
42.6,25.3,-245.0,-26.3,
40.9,22.0,-317.5,-21.3,
42.4,21.1,-390.0,-25.0,
46.4,21.0,-468.8,-37.5,
50.0,20.0,-543.8,-38.8,
50.3,16.9,-617.5,-48.8,
48.3,12.3,-693.8,-36.3,
49.3,9.9,-750.0,-28.8,
55.6,12.6,-810.0,-20.0,
62.0,17.5,-853.8,-26.3,
61.9,17.8,-915.0,-25.0,
54.9,10.5,-963.8,-26.3,
46.4,1.6,-1015.0,-37.5,
41.0,-2.0,-1077.5,-40.0,
39.1,-0.6,-1150.0,-33.8,
40.0,1.5,-1212.5,-10.0,
43.5,3.1,-1271.3,-8.8,
49.6,6.3,-1306.3,16.3,
55.9,11.4,-1328.8,33.8,
58.0,14.4,-1352.5,38.8,
54.6,11.9,-1372.5,22.5,
50.6,7.5,-1375.0,33.8,
51.9,8.3,-1382.5,58.8,
57.3,14.5,-1382.5,82.5,
60.3,19.1,-1386.3,92.5,
59.6,18.8,-1378.8,96.3,
61.0,18.3,-1376.3,95.0,
67.0,22.3,-1367.5,81.3,
71.6,26.5,-1346.3,36.3,
68.4,24.0,-1332.5,5.0,
60.9,16.4,-1310.0,5.0,
57.9,11.4,-1292.5,16.3,
59.8,10.4,-1262.5,16.3,
60.8,8.4,-1240.0,11.3,
59.6,4.9,-1218.8,10.0,
60.0,4.9,-1193.8,-5.0,
64.4,10.3,-1171.3,-12.5,
68.5,15.4,-1153.8,-21.3,
65.1,12.5,-1133.8,-6.3,
55.4,2.3,-1125.0,6.3,
49.5,-4.9,-1101.3,13.8,
53.1,-1.6,-1067.5,-5.0,
60.6,8.3,-1047.5,-8.8,
64.9,17.0,-1036.3,-5.0,
66.5,22.4,-1030.0,15.0,
70.3,26.5,-1008.8,50.0,
75.6,30.4,-1000.0,105.0,
77.4,31.1,-996.3,198.8,
73.8,26.8,-997.5,290.0,
69.3,21.1,-993.8,345.0,
67.9,20.1,-995.0,356.3,
68.5,23.9,-995.0,372.5,
68.0,27.6,-1007.5,287.5,
66.3,28.9,-1003.8,5.0,
65.0,29.1,-1000.0,-217.5,
64.6,29.8,-990.0,-233.8,
63.9,30.0,-968.8,-182.5,
63.3,29.5,-976.3,-127.5,
64.9,29.8,-973.8,-123.8,
67.4,30.8,-966.3,-122.5,
66.6,30.1,-960.0,-96.3,
62.8,28.3,-946.3,-101.3,
61.1,28.8,-927.5,-106.3,
64.6,31.8,-902.5,-78.8,
68.6,33.0,-877.5,-81.3,
67.9,30.6,-835.0,-98.8,
64.0,27.1,-790.0,-116.3,
61.0,24.8,-763.8,-85.0,
59.1,22.9,-746.3,-61.3,
57.0,20.4,-731.3,-50.0,
56.1,19.4,-731.3,-22.5,
57.9,21.1,-702.5,-28.8,
58.6,21.6,-660.0,-43.8,
54.9,18.3,-613.8,-50.0,
