"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
21.0,20.9,-11.3,-75.0,
18.8,19.0,-13.8,-60.0,
16.3,16.1,-8.8,-62.5,
14.3,12.8,-7.5,-95.0,
12.9,10.4,-2.5,-93.8,
12.0,9.1,1.3,-55.0,
10.9,8.1,-3.8,-28.8,
8.6,6.8,-7.5,-35.0,
5.8,5.4,-3.8,-38.8,
4.9,3.9,-3.8,-40.0,
3.6,1.6,-12.5,-35.0,
2.9,-1.1,-8.8,-56.3,
3.0,-3.3,1.3,-67.5,
2.9,-4.0,3.8,-66.3,
2.0,-3.8,0.0,-56.3,
1.1,-3.8,3.8,-36.3,
0.5,-4.3,-3.8,-17.5,
-0.4,-4.6,-3.8,-8.8,
-1.8,-4.9,6.3,3.8,
-3.5,-5.6,2.5,-12.5,
-4.9,-6.4,2.5,-32.5,
-4.6,-6.5,3.8,-37.5,
-3.5,-6.1,3.8,-41.3,
-2.6,-6.0,5.0,-60.0,
-1.9,-6.1,-3.8,-78.8,
-1.6,-6.0,12.5,-76.3,
-2.5,-5.6,6.3,-73.8,
-3.3,-5.3,2.5,-66.3,
-2.9,-5.3,1.3,-88.8,
-2.6,-5.3,2.5,-87.5,
-3.5,-5.1,-12.5,-60.0,
-4.4,-5.1,-3.8,-38.8,
-4.4,-5.4,2.5,-21.3,
-3.4,-5.3,-8.8,-30.0,
-1.1,-4.3,-10.0,-40.0,
2.0,-2.5,-2.5,-62.5,
4.9,-0.6,-8.8,-80.0,
7.1,0.9,-8.8,-93.8,
8.6,2.8,-1.3,-112.5,
9.4,5.6,0.0,-110.0,
10.3,8.6,-11.3,-120.0,
11.1,11.1,-10.0,-97.5,
11.5,13.0,3.8,-93.8,
11.9,14.3,-2.5,-97.5,
13.0,15.3,2.5,-95.0,
14.6,16.6,0.0,-96.3,
16.1,18.4,1.3,-93.8,
17.1,19.8,5.0,-102.5,
17.6,20.1,3.8,-93.8,
18.3,19.1,11.3,-86.3,
19.9,17.5,8.8,-93.8,
22.5,16.9,12.5,-106.3,
25.4,18.0,15.0,-92.5,
28.3,20.1,6.3,-76.3,
31.6,22.4,15.0,-47.5,
35.5,24.1,16.3,-18.8,
39.3,25.6,12.5,-25.0,
42.1,27.5,13.8,-17.5,
43.5,29.6,10.0,-8.8,
43.3,31.8,12.5,-3.8,
41.9,33.5,6.3,-3.8,
40.4,34.6,8.8,28.8,
39.5,34.5,7.5,46.3,
39.9,34.1,-1.3,63.8,
43.1,35.1,1.3,68.8,
50.4,38.6,6.3,45.0,
60.3,45.3,-6.3,17.5,
70.6,54.8,-2.5,-2.5,
79.5,64.6,6.3,-11.3,
84.4,71.6,-2.5,-5.0,
83.8,73.8,-3.8,-11.3,
78.4,70.9,0.0,-27.5,
70.4,64.6,1.3,-28.8,
62.6,57.1,-10.0,-32.5,
57.3,50.1,-11.3,-13.8,
53.6,45.1,-5.0,-6.3,
50.0,41.9,-5.0,-5.0,
46.5,39.3,-7.5,17.5,
43.9,36.9,1.3,21.3,
42.0,34.5,-3.8,30.0,
40.8,31.9,-13.8,46.3,
40.3,29.3,-7.5,56.3,
39.9,27.4,-5.0,70.0,
39.0,27.0,-15.0,111.3,
38.4,28.4,-20.0,161.3,
38.9,30.5,-10.0,121.3,
41.0,33.1,-8.8,-2.5,
45.3,36.1,-13.8,-167.5,
51.0,39.3,-10.0,-443.8,
55.3,42.1,-7.5,-718.8,
56.4,43.8,-3.8,-863.8,
54.6,43.3,-1.3,-851.3,
50.9,41.1,-5.0,-598.8,
46.3,38.4,-8.8,-273.8,
42.3,35.5,-6.3,-37.5,
39.1,32.6,-3.8,141.3,
36.1,30.0,-1.3,228.8,
33.3,27.9,-11.3,302.5,
31.0,26.4,-1.3,357.5,
29.1,25.3,-1.3,381.3,
27.5,24.8,-2.5,381.3,
26.6,25.1,1.3,391.3,
25.8,25.5,3.8,393.8,
24.3,24.8,-2.5,357.5,
22.5,23.1,2.5,328.8,
21.3,21.4,7.5,310.0,
19.9,19.8,7.5,301.3,
17.8,17.6,8.8,301.3,
15.3,15.0,2.5,285.0,
13.1,12.8,1.3,251.3,
11.1,11.3,13.8,233.8,
9.4,10.0,2.5,222.5,
8.3,8.9,11.3,223.8,
8.1,8.0,8.8,205.0,
8.9,7.3,6.3,187.5,
9.6,6.5,2.5,190.0,
9.6,5.8,5.0,195.0,
9.4,5.4,11.3,170.0,
9.6,5.5,15.0,170.0,
9.8,6.0,10.0,175.0,
9.3,6.3,3.8,178.8,
9.1,5.8,-2.5,173.8,
9.3,4.8,-1.3,156.3,
9.1,3.5,-3.8,125.0,
9.6,2.6,-7.5,101.3,
10.9,3.0,-2.5,73.8,
12.0,4.1,3.8,55.0,
12.9,5.6,-1.3,46.3,
13.1,7.5,8.8,51.3,
12.0,8.5,6.3,60.0,
9.9,7.6,2.5,50.0,
7.3,6.3,2.5,42.5,
4.4,5.4,10.0,58.8,
1.5,4.8,-6.3,50.0,
-0.8,3.4,8.8,63.8,
-2.4,1.1,2.5,81.3,
-3.5,-0.8,0.0,83.8,
-3.9,-1.3,-10.0,70.0,
-3.8,-0.8,-5.0,70.0,
-4.0,-0.3,6.3,75.0,
-4.9,-0.9,-6.3,108.8,
-5.4,-3.0,-6.3,133.8,
-4.5,-5.6,-1.3,122.5,
-2.8,-6.8,-3.8,132.5,
-0.9,-6.3,-15.0,145.0,
0.0,-5.9,0.0,160.0,
-0.9,-6.9,-13.8,147.5,
-2.8,-8.6,-13.8,143.8,
-4.5,-9.9,-3.8,151.3,
-7.0,-10.4,-1.3,142.5,
-11.1,-11.5,-12.5,137.5,
-15.8,-14.3,-8.8,115.0,
-18.9,-17.8,-5.0,78.8,
-20.1,-20.6,-2.5,62.5,
-20.4,-23.0,0.0,38.8,
-21.5,-25.4,-2.5,18.8,
-24.1,-27.8,-12.5,-10.0,
-26.6,-29.9,-15.0,-58.8,
-28.0,-31.4,-1.3,-96.3,
-29.6,-32.1,6.3,-111.3,
-32.1,-32.6,-3.8,-116.3,
-34.6,-33.6,8.8,-141.3,
-36.4,-35.4,11.3,-168.8,
-37.5,-37.3,15.0,-192.5,
-38.1,-38.1,16.3,-201.3,
-39.3,-38.6,18.8,-203.8,
-41.3,-40.1,18.8,-211.3,
-42.8,-41.4,23.8,-201.3,
-42.5,-40.3,27.5,-190.0,
-41.5,-37.0,26.3,-165.0,
-40.8,-33.8,13.8,-163.8,
-39.6,-32.0,15.0,-161.3,
-38.0,-31.3,26.3,-162.5,
-36.6,-30.6,15.0,-155.0,
-35.3,-29.9,16.3,-146.3,
-33.4,-28.9,13.8,-136.3,
-31.3,-27.3,15.0,-143.8,
-29.0,-25.0,7.5,-135.0,
-27.1,-23.0,17.5,-132.5,
-26.6,-21.4,15.0,-112.5,
-27.3,-19.9,-1.3,-105.0,
-27.0,-18.5,-2.5,-120.0,
-24.9,-17.0,6.3,-132.5,
-22.0,-15.3,3.8,-156.3,
-19.5,-13.9,2.5,-147.5,
-17.3,-12.8,8.8,-136.3,
-15.5,-11.0,-2.5,-123.8,
-15.8,-9.4,-1.3,-125.0,
