"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
0.5,0.6,5.0,12.5,
4.4,1.0,48.8,16.3,
3.5,-0.3,36.3,16.3,
1.6,-0.8,8.8,18.8,
2.4,-0.3,28.8,47.5,
0.8,-0.3,30.0,77.5,
-2.0,-0.8,7.5,85.0,
-1.1,-1.0,20.0,91.3,
0.4,-0.9,28.8,96.3,
0.0,-0.5,12.5,91.3,
0.4,0.0,10.0,80.0,
1.1,0.0,25.0,93.8,
-0.3,-0.4,12.5,111.3,
-1.8,-0.3,7.5,105.0,
-1.6,0.4,20.0,106.3,
-1.5,0.4,21.3,78.8,
-1.5,-0.3,20.0,46.3,
-0.9,-1.0,21.3,26.3,
-0.8,-1.8,30.0,13.8,
-1.4,-2.5,7.5,16.3,
-1.1,-2.5,12.5,16.3,
-0.1,-2.0,17.5,11.3,
-0.1,-1.6,15.0,-3.8,
-0.6,-1.3,18.8,-15.0,
-0.6,-0.8,12.5,-11.3,
-0.5,0.0,23.8,-7.5,
-0.1,0.8,21.3,-15.0,
0.9,1.1,12.5,0.0,
1.4,0.9,17.5,-3.8,
0.1,0.6,16.3,3.8,
-1.5,1.4,3.8,-3.8,
-2.0,2.8,2.5,0.0,
-1.8,4.1,-3.8,1.3,
-0.8,5.1,-13.8,30.0,
0.6,5.0,-2.5,123.8,
1.4,3.1,-5.0,325.0,
1.4,-0.9,-8.8,660.0,
1.5,-6.5,-5.0,1042.5,
1.3,-12.6,-11.3,1350.0,
-0.4,-17.8,-16.3,1571.3,
-2.8,-20.6,-21.3,1642.5,
-4.4,-20.6,-22.5,1317.5,
-5.0,-17.9,-27.5,605.0,
-5.3,-13.1,-17.5,-216.3,
-5.1,-7.6,-26.3,-593.8,
-4.8,-2.4,-20.0,-621.3,
-4.6,2.9,-27.5,-570.0,
-4.5,8.0,-25.0,-551.3,
-3.9,11.6,-20.0,-502.5,
-3.0,13.0,-17.5,-426.3,
-2.8,13.1,-23.8,-377.5,
-3.4,13.3,-23.8,-377.5,
-4.3,13.3,-22.5,-348.8,
-4.4,12.6,-23.8,-322.5,
-3.6,12.0,-23.8,-303.8,
-2.9,12.1,-26.3,-293.8,
-3.0,12.6,-26.3,-252.5,
-4.0,12.6,-31.3,-235.0,
-4.6,12.5,-21.3,-213.8,
-4.4,12.4,-17.5,-201.3,
-3.4,11.6,-15.0,-185.0,
-2.4,10.8,-7.5,-193.8,
-2.3,10.4,-12.5,-173.8,
-2.6,9.9,-7.5,-125.0,
-2.6,8.8,-16.3,-117.5,
-2.8,7.8,-17.5,-115.0,
-3.3,7.6,-12.5,-88.8,
-3.6,8.0,-17.5,-70.0,
-3.8,8.0,-7.5,-57.5,
-4.4,7.6,-8.8,-36.3,
-5.3,7.8,-11.3,-17.5,
-5.5,8.4,-3.8,7.5,
-5.3,8.4,5.0,30.0,
-5.3,7.9,0.0,41.3,
-5.6,7.6,6.3,65.0,
-5.6,7.3,5.0,112.5,
-5.1,6.3,-5.0,158.8,
-4.4,4.8,-10.0,203.8,
-4.0,3.4,-6.3,237.5,
-4.8,2.3,3.8,286.3,
-6.3,0.9,6.3,340.0,
-7.6,-0.4,2.5,416.3,
-8.3,-1.5,2.5,483.8,
-8.5,-2.0,-6.3,537.5,
-8.8,-1.8,2.5,575.0,
-9.1,-2.0,1.3,582.5,
-9.6,-3.1,0.0,565.0,
-9.6,-4.3,1.3,538.8,
-9.1,-4.6,1.3,500.0,
-8.4,-4.8,-6.3,461.3,
-7.0,-5.3,-1.3,393.8,
-5.3,-5.9,-3.8,318.8,
-4.8,-6.4,3.8,225.0,
-5.6,-7.3,-10.0,123.8,
-6.4,-9.3,-5.0,38.8,
-6.3,-12.1,0.0,-62.5,
-5.8,-13.9,1.3,-147.5,
-5.4,-13.4,8.8,-230.0,
-5.3,-11.6,16.3,-290.0,
-5.5,-9.9,12.5,-343.8,
-5.6,-8.8,18.8,-385.0,
-5.5,-8.4,21.3,-403.8,
-5.5,-8.5,22.5,-412.5,
-5.6,-8.3,23.8,-412.5,
-5.5,-7.4,23.8,-398.8,
-5.5,-6.8,18.8,-392.5,
-5.9,-7.1,18.8,-378.8,
-5.5,-8.0,13.8,-361.3,
-4.4,-8.3,15.0,-351.3,
-3.8,-7.4,15.0,-326.3,
-3.4,-5.9,7.5,-300.0,
-2.3,-4.5,2.5,-290.0,
-0.9,-3.9,7.5,-273.8,
-0.4,-4.1,2.5,-260.0,
-0.6,-4.4,3.8,-245.0,
-0.4,-3.9,7.5,-221.3,
0.5,-3.0,15.0,-197.5,
1.4,-2.1,13.8,-183.8,
2.0,-1.3,16.3,-166.3,
2.3,-0.3,26.3,-160.0,
2.5,0.5,21.3,-150.0,
3.1,0.6,18.8,-135.0,
3.8,0.1,26.3,-127.5,
3.8,-0.4,25.0,-137.5,
3.4,-0.8,17.5,-135.0,
2.9,-1.3,12.5,-135.0,
2.1,-1.3,6.3,-121.3,
1.3,-0.8,3.8,-115.0,
0.8,-0.5,3.8,-103.8,
0.8,-0.8,0.0,-103.8,
1.1,-1.0,-1.3,-97.5,
2.0,-0.8,1.3,-85.0,
3.1,-0.1,6.3,-78.8,
4.1,0.5,0.0,-71.3,
4.6,1.1,-1.3,-71.3,
5.1,1.3,0.0,-68.8,
5.4,0.5,-2.5,-66.3,
5.0,-0.6,-1.3,-72.5,
4.3,-0.9,-5.0,-73.8,
3.6,0.0,-12.5,-55.0,
4.1,1.3,-18.8,-51.3,
5.9,2.4,-1.3,-46.3,
7.4,3.4,6.3,-61.3,
7.9,4.0,-6.3,-57.5,
7.9,4.3,-18.8,-42.5,
8.3,4.0,-1.3,-31.3,
8.8,3.4,7.5,-27.5,
9.0,2.8,13.8,-41.3,
8.9,2.5,25.0,-35.0,
8.3,2.6,33.8,-28.8,
7.9,3.0,36.3,-16.3,
8.5,3.4,47.5,-10.0,
9.8,3.6,67.5,-15.0,
11.3,4.1,70.0,2.5,
13.0,4.8,81.3,-1.3,
14.3,4.8,81.3,13.8,
14.5,3.9,95.0,23.8,
14.5,2.5,91.3,11.3,
14.3,1.1,112.5,-1.3,
12.8,0.0,105.0,1.3,
10.9,-0.8,102.5,8.8,
10.0,-0.9,100.0,10.0,
9.6,0.0,98.8,8.8,
9.1,1.6,78.8,8.8,
9.0,2.9,82.5,21.3,
9.0,2.4,86.3,22.5,
