"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-0.6,2.6,11.3,-173.8,
0.3,5.0,7.5,-166.3,
0.3,5.5,-3.8,-155.0,
-4.4,3.1,-7.5,-106.3,
-11.8,-1.5,8.8,-96.3,
-19.0,-6.8,2.5,-93.8,
-25.8,-10.0,-1.3,-76.3,
-29.6,-9.5,-7.5,-53.8,
-29.1,-6.6,-20.0,-50.0,
-28.0,-5.4,-26.3,-47.5,
-29.1,-7.4,-6.3,-62.5,
-30.4,-9.0,-7.5,-73.8,
-30.4,-7.4,-21.3,-66.3,
-30.3,-4.0,-10.0,-60.0,
-30.3,-1.9,7.5,-58.8,
-30.5,-2.3,0.0,-63.8,
-31.6,-4.1,-6.3,-71.3,
-32.9,-5.3,1.3,-87.5,
-32.6,-5.3,-6.3,-100.0,
-30.8,-5.6,-7.5,-98.8,
-27.1,-6.5,10.0,-96.3,
26.9,3.6,500.0,-88.8,
172.3,39.5,503.8,67.5,
282.8,75.4,51.3,81.3,
207.6,63.9,-242.5,-51.3,
2.0,9.3,-285.0,-140.0,
-165.5,-42.9,-130.0,-150.0,
-207.9,-62.9,-85.0,-116.3,
-175.0,-58.0,-167.5,-111.3,
-146.5,-49.9,-122.5,-131.3,
-128.5,-42.5,-46.3,-95.0,
-106.1,-31.9,-95.0,-57.5,
-94.4,-24.6,-105.0,-73.8,
-93.0,-25.5,-43.8,-76.3,
-85.8,-28.8,-43.8,-45.0,
-80.1,-30.5,-80.0,-36.3,
-81.6,-31.4,-21.3,-45.0,
-75.9,-29.9,-10.0,-17.5,
-64.5,-26.9,-48.8,-11.3,
-61.1,-26.0,-36.3,-20.0,
-60.8,-25.4,-6.3,-1.3,
-56.4,-22.4,-25.0,6.3,
-54.6,-20.0,-38.8,15.0,
-55.1,-20.8,-15.0,27.5,
-51.3,-22.1,-23.8,42.5,
-46.4,-22.1,-33.8,46.3,
-44.0,-21.0,-20.0,16.3,
-40.4,-19.0,-11.3,7.5,
-35.6,-17.1,-20.0,18.8,
-33.5,-16.0,-16.3,18.8,
-32.0,-14.4,-6.3,25.0,
-29.5,-12.5,-11.3,16.3,
-28.3,-12.6,-10.0,-16.3,
-27.0,-14.6,0.0,-46.3,
-24.1,-16.4,-3.8,-48.8,
-23.0,-17.4,-10.0,-70.0,
-24.5,-17.8,8.8,-70.0,
-23.6,-16.4,3.8,-73.8,
-19.4,-12.8,-5.0,-56.3,
-15.1,-9.3,1.3,-50.0,
-11.0,-7.9,-3.8,-58.8,
-6.6,-8.4,-13.8,-52.5,
-4.3,-9.6,-8.8,-50.0,
-3.8,-10.4,-6.3,-68.8,
-2.1,-9.5,0.0,-83.8,
1.6,-7.5,7.5,-53.8,
4.9,-6.3,10.0,38.8,
6.6,-6.3,20.0,225.0,
8.6,-5.6,12.5,550.0,
10.9,-1.5,23.8,923.8,
11.5,7.3,13.8,1143.8,
11.0,17.9,1.3,1180.0,
11.6,25.3,-5.0,1026.3,
13.6,26.4,-3.8,666.3,
16.4,21.6,3.8,170.0,
21.6,13.4,18.8,-397.5,
46.6,8.9,181.3,-595.0,
98.0,14.4,153.8,-508.8,
129.8,20.3,13.8,-426.3,
102.5,11.8,-67.5,-422.5,
41.9,-7.9,-70.0,-430.0,
-2.0,-22.8,-26.3,-396.3,
-8.3,-24.3,-27.5,-342.5,
5.5,-17.9,-56.3,-342.5,
18.0,-12.1,-36.3,-335.0,
27.4,-8.8,-3.8,-292.5,
34.4,-8.0,-20.0,-262.5,
34.8,-10.5,-21.3,-270.0,
33.1,-13.3,0.0,-250.0,
35.6,-12.4,8.8,-227.5,
38.5,-9.1,-1.3,-218.8,
39.9,-7.3,21.3,-210.0,
44.1,-6.9,21.3,-211.3,
50.0,-6.3,10.0,-201.3,
52.9,-5.3,11.3,-192.5,
53.5,-4.1,7.5,-172.5,
54.1,-2.8,8.8,-156.3,
55.1,-2.0,6.3,-137.5,
57.5,-2.9,12.5,-122.5,
61.3,-4.3,6.3,-110.0,
63.6,-5.3,-10.0,-96.3,
64.4,-5.8,-13.8,-95.0,
67.0,-4.8,-21.3,-76.3,
70.9,-2.3,-36.3,-65.0,
73.6,0.4,-30.0,-45.0,
75.5,2.0,-27.5,-7.5,
75.3,1.9,-22.5,16.3,
70.9,-0.8,-6.3,50.0,
64.5,-4.4,12.5,78.8,
59.9,-6.1,13.8,121.3,
58.5,-6.0,2.5,156.3,
58.5,-6.1,-2.5,198.8,
57.9,-7.4,0.0,226.3,
56.0,-8.8,12.5,255.0,
53.9,-9.3,11.3,258.8,
53.0,-8.0,11.3,263.8,
52.1,-6.1,1.3,245.0,
49.3,-6.0,1.3,217.5,
46.3,-8.4,6.3,180.0,
45.9,-11.1,8.8,132.5,
48.1,-12.3,1.3,87.5,
49.9,-11.5,-2.5,26.3,
49.4,-10.8,3.8,-21.3,
47.8,-10.9,-1.3,-91.3,
46.5,-10.1,8.8,-158.8,
45.6,-7.1,11.3,-225.0,
43.8,-3.5,-1.3,-275.0,
40.3,-2.1,-10.0,-318.8,
37.1,-3.8,-11.3,-355.0,
35.9,-6.4,-15.0,-368.8,
35.8,-8.4,-21.3,-377.5,
36.4,-9.6,-17.5,-392.5,
39.3,-10.4,-6.3,-402.5,
44.1,-11.1,3.8,-412.5,
48.0,-12.5,12.5,-400.0,
48.3,-14.6,13.8,-385.0,
45.3,-17.9,22.5,-385.0,
42.8,-21.8,26.3,-386.3,
44.0,-24.4,20.0,-372.5,
48.6,-24.9,13.8,-343.8,
52.8,-23.9,25.0,-321.3,
53.1,-22.4,32.5,-288.8,
50.3,-21.6,30.0,-275.0,
46.9,-22.0,31.3,-253.8,
45.4,-22.4,25.0,-248.8,
46.0,-20.9,28.8,-235.0,
47.0,-17.4,16.3,-222.5,
47.3,-14.0,6.3,-207.5,
47.4,-12.5,6.3,-182.5,
48.0,-12.4,-1.3,-185.0,
49.4,-11.1,-8.8,-170.0,
51.5,-7.8,1.3,-156.3,
52.4,-3.8,-2.5,-146.3,
50.6,-0.6,2.5,-138.8,
47.3,1.6,6.3,-131.3,
44.3,2.8,7.5,-128.8,
42.9,2.0,5.0,-132.5,
42.5,0.4,5.0,-138.8,
41.9,0.1,5.0,-142.5,
41.8,3.0,12.5,-147.5,
43.5,7.9,8.8,-143.8,
46.9,11.5,3.8,-148.8,
50.9,12.8,8.8,-158.8,
54.9,12.8,8.8,-157.5,
63.0,13.5,43.8,-152.5,
78.8,16.3,27.5,-136.3,
90.4,18.8,-22.5,-130.0,
84.8,17.1,-37.5,-140.0,
68.8,12.6,-43.8,-151.3,
57.3,9.6,-28.8,-150.0,
55.8,10.3,-18.8,-145.0,
59.0,13.4,-27.5,-123.8,
60.6,15.6,-11.3,-111.3,
59.9,14.6,-6.3,-110.0,
57.9,10.6,0.0,-96.3,
54.9,5.9,-6.3,-76.3,
53.0,1.6,2.5,-61.3,
53.6,-2.5,5.0,-40.0,
54.8,-7.5,0.0,-31.3,
56.1,-12.1,10.0,-20.0,
59.4,-14.4,-2.5,-26.3,
62.9,-14.1,-2.5,-33.8,
63.6,-13.0,-6.3,-21.3,
