"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
134.8,87.1,3.8,15.0,
139.4,89.5,-23.8,12.5,
135.0,86.0,10.0,20.0,
129.1,84.9,17.5,8.8,
125.8,87.8,-11.3,-25.0,
120.8,87.4,10.0,-88.8,
115.1,86.5,22.5,-111.3,
113.1,88.6,-3.8,-118.8,
116.3,87.4,0.0,-98.8,
121.9,80.9,16.3,-88.8,
122.1,74.6,1.3,-95.0,
113.8,68.4,-16.3,-92.5,
100.8,60.3,-1.3,-60.0,
84.0,54.1,1.3,-63.8,
62.4,49.8,-15.0,-63.8,
38.4,43.0,-6.3,-48.8,
19.9,37.9,-3.8,-52.5,
15.4,37.9,-12.5,-58.8,
24.1,37.4,-21.3,-33.8,
40.4,35.0,-6.3,-17.5,
60.8,35.6,-10.0,-7.5,
82.9,38.3,-20.0,-56.3,
105.4,40.0,-7.5,-118.8,
129.5,41.3,-11.3,-102.5,
150.8,41.0,-10.0,15.0,
156.6,39.5,-16.3,326.3,
144.5,40.6,-6.3,946.3,
128.4,45.5,-6.3,1676.3,
119.0,50.4,-5.0,2327.5,
115.3,54.3,0.0,2718.8,
112.3,57.5,-2.5,2651.3,
110.9,55.9,-7.5,1987.5,
113.1,46.5,-8.8,877.5,
114.5,33.1,-8.8,55.0,
113.0,20.4,-7.5,-282.5,
116.8,10.5,1.3,-413.8,
135.5,6.4,10.0,-548.8,
164.9,10.9,20.0,-633.8,
191.3,21.1,22.5,-606.3,
208.6,31.1,20.0,-552.5,
212.8,38.6,21.3,-575.0,
190.8,43.5,6.3,-606.3,
139.9,45.6,1.3,-590.0,
78.8,42.5,-8.8,-578.8,
24.5,31.8,-7.5,-558.8,
-17.1,15.8,0.0,-510.0,
-40.9,1.4,0.0,-480.0,
-43.8,-5.3,11.3,-492.5,
-33.3,-3.4,13.8,-481.3,
-21.3,0.6,26.3,-440.0,
-14.9,1.5,30.0,-437.5,
-16.9,1.0,13.8,-415.0,
-27.3,-0.8,-1.3,-357.5,
-42.0,-5.1,-16.3,-321.3,
-55.6,-10.9,-22.5,-328.8,
-63.9,-18.3,-26.3,-331.3,
-65.6,-27.0,-20.0,-351.3,
-67.8,-33.3,-10.0,-341.3,
-78.3,-34.4,-6.3,-317.5,
-91.8,-31.8,-6.3,-261.3,
-97.6,-27.9,-17.5,-237.5,
-94.5,-24.1,-16.3,-248.8,
-88.0,-19.8,-21.3,-248.8,
-82.3,-15.5,-3.8,-230.0,
-77.8,-15.1,-7.5,-195.0,
-72.8,-18.0,-11.3,-177.5,
-63.5,-20.1,1.3,-175.0,
-51.9,-20.4,0.0,-178.8,
-47.5,-20.1,-5.0,-152.5,
-50.5,-20.4,7.5,-116.3,
-52.4,-19.6,6.3,-30.0,
-54.4,-17.4,7.5,-1.3,
-59.9,-15.6,8.8,3.8,
-60.9,-15.6,11.3,23.8,
-53.1,-18.1,8.8,53.8,
-44.4,-22.8,6.3,90.0,
-43.1,-28.1,6.3,96.3,
-48.9,-31.8,17.5,117.5,
-52.1,-31.0,13.8,148.8,
-48.6,-29.1,-2.5,160.0,
-43.6,-29.8,7.5,132.5,
-40.3,-30.3,5.0,68.8,
-38.4,-28.3,7.5,33.8,
-35.0,-26.1,7.5,7.5,
-27.0,-25.3,-2.5,-53.8,
-18.5,-24.8,5.0,-115.0,
-17.1,-23.5,2.5,-142.5,
-21.3,-21.1,0.0,-160.0,
-21.3,-20.1,-7.5,-171.3,
-14.4,-23.0,-12.5,-161.3,
-6.8,-26.9,-10.0,-163.8,
-2.9,-27.4,-8.8,-158.8,
-5.6,-24.4,-7.5,-146.3,
-18.4,-21.4,-7.5,-140.0,
-37.0,-22.3,-5.0,-135.0,
-50.6,-29.0,-1.3,-133.8,
-56.1,-41.3,-5.0,-136.3,
-59.4,-55.1,-13.8,-126.3,
-64.0,-67.4,-12.5,-106.3,
-72.6,-80.4,-16.3,-86.3,
-88.1,-96.8,-12.5,-63.8,
-106.3,-113.5,-12.5,-63.8,
-118.8,-125.5,-7.5,-66.3,
-120.3,-129.6,-3.8,-63.8,
-113.4,-125.9,-5.0,-61.3,
-104.4,-117.1,-12.5,-56.3,
-92.9,-104.5,-17.5,-62.5,
-81.9,-89.4,-18.8,-41.3,
-77.9,-75.6,-16.3,-15.0,
-74.8,-64.1,-12.5,2.5,
-63.4,-50.8,1.3,2.5,
-45.0,-33.3,3.8,-7.5,
-24.5,-16.0,12.5,-1.3,
-5.4,-3.5,25.0,25.0,
8.5,4.5,23.8,23.8,
14.8,10.6,13.8,5.0,
19.4,15.4,15.0,16.3,
32.0,18.6,17.5,33.8,
48.6,21.5,26.3,52.5,
54.5,25.4,10.0,52.5,
47.9,29.8,13.8,55.0,
41.8,32.8,11.3,53.8,
45.5,32.6,7.5,57.5,
55.8,32.1,3.8,46.3,
62.3,34.1,-3.8,50.0,
60.9,37.3,-13.8,65.0,
55.9,39.0,-18.8,61.3,
51.8,37.6,-11.3,70.0,
46.6,32.8,-25.0,91.3,
39.8,25.4,-23.8,115.0,
35.5,17.0,-15.0,118.8,
34.9,10.9,-13.8,115.0,
33.8,7.8,-1.3,132.5,
31.1,5.5,-5.0,140.0,
32.6,4.4,-17.5,135.0,
37.9,5.9,-21.3,133.8,
37.6,9.5,-17.5,122.5,
31.1,13.8,-12.5,112.5,
28.3,16.4,-13.8,60.0,
32.8,16.1,-2.5,37.5,
40.0,14.0,5.0,51.3,
44.4,13.0,1.3,53.8,
41.8,14.0,2.5,27.5,
32.9,16.0,7.5,-22.5,
22.8,18.3,13.8,-75.0,
15.8,16.9,3.8,-52.5,
12.8,9.5,2.5,-62.5,
11.9,1.0,11.3,-66.3,
11.3,-3.6,12.5,-86.3,
10.0,-5.6,15.0,-78.8,
7.8,-6.6,16.3,-87.5,
4.8,-7.5,-3.8,-90.0,
3.3,-8.9,-12.5,-98.8,
7.3,-8.9,-15.0,-98.8,
15.8,-7.0,-22.5,-87.5,
21.9,-5.0,-21.3,-86.3,
23.5,-3.5,-13.8,-75.0,
25.0,-2.1,-18.8,-62.5,
