"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-0.9,27.6,16.3,-83.8,
-8.0,22.4,2.5,-117.5,
-10.8,23.6,-12.5,-147.5,
-12.5,24.1,-8.8,-185.0,
-15.4,20.5,-7.5,-203.8,
-18.3,16.4,-20.0,-212.5,
-20.1,14.0,-5.0,-233.8,
-20.8,13.4,10.0,-225.0,
-22.1,11.9,13.8,-245.0,
-26.5,5.5,7.5,-248.8,
-30.6,-2.8,23.8,-235.0,
-31.8,-5.8,25.0,-232.5,
-31.5,-3.5,1.3,-223.8,
-31.6,-3.6,-5.0,-197.5,
-31.9,-10.9,0.0,-198.8,
-29.3,-20.6,-5.0,-198.8,
-24.0,-26.0,-1.3,-216.3,
-17.0,-24.3,-7.5,-218.8,
-12.3,-19.0,-18.8,-187.5,
-12.6,-17.6,-28.8,-140.0,
-16.4,-23.3,-40.0,-137.5,
-18.5,-31.8,-53.8,-140.0,
-18.3,-37.9,-58.8,-117.5,
-19.3,-41.5,-62.5,-110.0,
-21.8,-46.1,-66.3,-110.0,
-20.5,-50.4,-65.0,-107.5,
-14.0,-51.1,-67.5,-96.3,
-8.3,-50.6,-66.3,-81.3,
-7.0,-52.9,-73.8,-82.5,
-8.0,-57.8,-83.8,-98.8,
-9.4,-62.6,-92.5,-101.3,
-10.1,-65.6,-111.3,-88.8,
-7.3,-64.3,-130.0,-57.5,
-1.4,-58.1,-152.5,-43.8,
2.3,-52.5,-163.8,-35.0,
2.1,-50.6,-157.5,-28.8,
1.0,-49.9,-148.8,-37.5,
-0.8,-47.1,-123.8,-21.3,
-3.1,-42.9,-108.8,-15.0,
-1.8,-39.9,-106.3,-36.3,
3.5,-37.4,-100.0,-35.0,
6.5,-32.8,-92.5,-28.8,
4.1,-28.5,-78.8,-11.3,
0.0,-27.5,-48.8,-5.0,
-1.8,-26.6,-38.8,-3.8,
-4.1,-25.6,-31.3,-1.3,
-9.8,-26.3,-28.8,15.0,
-13.8,-26.4,-33.8,6.3,
-13.5,-25.4,-41.3,10.0,
-10.8,-24.5,-55.0,10.0,
-7.0,-22.0,-50.0,18.8,
