"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
1.8,6.3,-3.8,-151.3,
2.3,11.9,-17.5,-50.0,
4.3,17.5,-27.5,8.8,
7.0,20.9,-17.5,63.8,
9.3,22.3,-21.3,62.5,
10.5,22.8,-12.5,-2.5,
11.0,22.6,0.0,130.0,
11.6,22.1,-2.5,265.0,
12.5,22.3,-1.3,286.3,
13.5,23.0,0.0,236.3,
14.8,23.4,6.3,188.8,
16.1,23.0,10.0,190.0,
17.8,22.6,0.0,163.8,
19.9,23.3,0.0,151.3,
22.3,24.3,-2.5,85.0,
23.6,24.4,7.5,-163.8,
23.3,23.6,7.5,-421.3,
22.0,23.5,11.3,-373.8,
21.0,23.8,12.5,-332.5,
20.5,23.0,1.3,-448.8,
20.6,21.8,8.8,-437.5,
20.6,21.0,7.5,-377.5,
20.0,21.4,1.3,-405.0,
19.4,22.5,-6.3,-392.5,
19.0,22.3,1.3,-313.8,
18.3,19.9,-1.3,-282.5,
16.8,17.5,-5.0,-297.5,
14.6,16.5,3.8,-352.5,
12.0,15.6,-1.3,-352.5,
9.5,14.0,2.5,-301.3,
7.9,12.0,8.8,-313.8,
7.6,10.0,-6.3,-252.5,
8.3,8.3,-3.8,-253.8,
9.1,7.5,-11.3,-165.0,
8.9,8.5,-27.5,-83.8,
7.0,9.9,-32.5,-113.8,
4.8,9.4,-40.0,-132.5,
3.8,7.5,-47.5,-148.8,
3.4,5.4,-53.8,-122.5,
2.0,3.3,-60.0,30.0,
-0.5,2.3,-63.8,327.5,
-3.4,2.9,-65.0,523.8,
-6.3,3.6,-68.8,591.3,
-8.6,3.9,-63.8,555.0,
-10.3,3.6,-55.0,232.5,
-11.3,2.5,-48.8,100.0,
-11.6,1.0,-38.8,162.5,
-11.1,0.1,-33.8,90.0,
-9.8,0.1,-31.3,-37.5,
-8.3,0.8,-18.8,-73.8,
-7.0,1.3,-15.0,-65.0,
-6.0,0.6,-10.0,-31.3,
-4.9,-0.4,-8.8,-73.8,
-3.9,-0.5,-11.3,-168.8,
-3.8,0.4,-16.3,-216.3,
-4.5,1.6,-17.5,-228.8,
-5.0,2.3,-11.3,-222.5,
-4.9,1.0,-13.8,-222.5,
-4.9,-1.9,-20.0,-207.5,
-4.8,-4.0,-16.3,-271.3,
-3.9,-3.6,-27.5,-276.3,
-2.3,-1.1,-35.0,-205.0,
-0.6,0.8,-25.0,-210.0,
1.0,0.9,-27.5,-198.8,
3.0,0.9,-32.5,-30.0,
4.8,1.5,-32.5,31.3,
5.9,1.6,-30.0,113.8,
6.6,0.5,-27.5,113.8,
7.0,-1.3,-31.3,127.5,
6.5,-3.9,-27.5,251.3,
5.1,-8.3,-20.0,212.5,
4.1,-13.0,-20.0,106.3,
3.9,-15.4,-17.5,107.5,
3.8,-14.8,-10.0,-10.0,
3.1,-13.4,-13.8,-148.8,
2.3,-12.5,-15.0,-143.8,
1.5,-11.5,-16.3,-76.3,
1.1,-10.5,-12.5,-96.3,
1.3,-10.4,-12.5,-265.0,
1.9,-11.3,-18.8,-340.0,
3.1,-11.1,-18.8,-167.5,
4.8,-8.6,-20.0,-82.5,
6.1,-5.4,-21.3,-187.5,
7.0,-4.3,-16.3,-292.5,
7.6,-5.8,-12.5,-132.5,
8.0,-8.0,-1.3,218.8,
8.5,-8.8,-7.5,423.8,
9.0,-7.6,-2.5,382.5,
8.8,-7.4,2.5,327.5,
7.6,-9.5,8.8,350.0,
7.6,-11.1,11.3,316.3,
10.4,-9.6,11.3,271.3,
14.5,-5.4,17.5,320.0,
17.0,-0.8,25.0,377.5,
15.9,1.4,31.3,347.5,
12.3,0.4,36.3,311.3,
8.4,-2.6,43.8,257.5,
5.5,-6.1,48.8,161.3,
3.9,-9.1,41.3,67.5,
3.9,-10.9,37.5,83.8,
6.3,-10.9,48.8,82.5,
9.8,-10.6,33.8,11.3,
11.9,-11.5,35.0,-47.5,
11.4,-13.3,36.3,-15.0,
9.0,-14.9,22.5,-2.5,
6.0,-15.8,27.5,-26.3,
3.8,-16.0,27.5,3.8,
2.9,-16.0,21.3,33.8,
2.1,-15.9,22.5,32.5,
0.1,-16.8,31.3,-2.5,
-2.9,-18.9,26.3,-96.3,
-5.9,-20.3,18.8,-130.0,
-8.8,-19.8,22.5,-170.0,
-10.9,-17.6,21.3,-177.5,
-11.6,-13.9,28.8,-72.5,
-11.5,-8.1,28.8,160.0,
-11.4,-0.8,27.5,478.8,
-11.9,6.1,30.0,882.5,
-13.3,9.4,32.5,1240.0,
-13.4,6.1,42.5,1130.0,
-9.9,-4.3,35.0,552.5,
-4.0,-18.4,35.0,-91.3,
0.5,-30.4,30.0,-521.3,
1.8,-35.9,27.5,-556.3,
0.4,-35.5,27.5,-513.8,
-2.5,-33.0,18.8,-410.0,
-5.4,-30.3,15.0,-172.5,
-7.3,-27.3,16.3,-117.5,
-8.6,-24.6,8.8,-250.0,
-10.3,-22.9,10.0,-383.8,
-11.5,-20.1,8.8,-390.0,
-11.5,-15.5,8.8,-402.5,
-10.1,-10.0,5.0,-520.0,
-8.8,-5.4,25.0,-495.0,
-9.1,-3.6,15.0,-396.3,
-11.3,-5.3,21.3,-515.0,
-13.9,-8.6,17.5,-568.8,
-15.8,-12.3,25.0,-336.3,
-16.8,-15.5,17.5,-211.3,
-17.0,-17.1,20.0,-230.0,
-16.1,-15.9,21.3,-301.3,
-14.6,-12.5,21.3,-262.5,
-13.6,-9.9,26.3,-201.3,
-13.1,-8.8,27.5,-258.8,
-12.5,-7.6,22.5,-218.8,
-11.6,-5.6,25.0,-220.0,
-10.6,-3.1,27.5,-76.3,
-9.4,-0.9,28.8,23.8,
-7.9,0.4,23.8,-28.8,
-6.5,0.6,32.5,-163.8,
-6.0,0.9,28.8,-126.3,
-6.5,1.9,18.8,90.0,
-7.4,4.3,11.3,337.5,
-8.4,7.6,13.8,546.3,
-10.4,9.9,12.5,583.8,
-13.5,10.0,10.0,612.5,
-16.6,8.6,10.0,670.0,
-19.0,6.1,7.5,465.0,
-20.6,2.9,2.5,340.0,
-21.1,0.9,7.5,343.8,
-19.9,1.1,0.0,336.3,
-17.4,2.4,3.8,316.3,
-14.8,3.4,-1.3,377.5,
-13.1,4.5,-7.5,462.5,
-12.4,5.8,-5.0,413.8,
-12.3,6.5,2.5,243.8,
-12.3,6.6,2.5,241.3,
-12.1,6.5,-6.3,250.0,
-12.8,6.0,-10.0,308.8,
-14.1,5.3,-1.3,373.8,
-15.1,4.8,-6.3,417.5,
-15.3,3.5,-2.5,447.5,
-15.0,1.1,2.5,497.5,
-14.8,-1.4,-2.5,498.8,
-14.8,-3.4,-5.0,402.5,
-15.0,-4.5,-13.8,258.8,
-15.3,-5.3,-8.8,138.8,
-15.1,-6.8,-12.5,113.8,
-14.5,-8.9,-12.5,107.5,
-13.6,-10.6,-15.0,28.8,
-12.5,-11.0,-7.5,-23.8,
-11.3,-10.8,-3.8,-41.3,
-10.3,-11.0,-6.3,-113.8,
-9.1,-11.5,1.3,-162.5,
-7.9,-11.9,5.0,-265.0,
-7.3,-12.5,-1.3,-267.5,
-7.3,-13.0,5.0,-212.5,
-6.8,-11.9,3.8,-77.5,
-5.1,-8.8,-6.3,57.5,
-2.6,-6.0,5.0,22.5,
0.4,-4.8,3.8,-41.3,
3.9,-3.3,-2.5,-33.8,
7.6,-0.8,5.0,12.5,
10.8,1.1,5.0,-32.5,
12.8,2.0,3.8,-140.0,
13.6,2.6,-3.8,-198.8,
13.1,3.5,-11.3,-145.0,
10.8,3.9,-15.0,-158.8,
7.5,3.1,-13.8,-188.8,
4.9,2.3,-20.0,-196.3,
3.5,2.0,-26.3,-175.0,
2.8,1.8,-23.8,-145.0,
2.1,1.0,-21.3,-123.8,
1.8,-0.5,-16.3,-163.8,
1.6,-2.4,-12.5,-282.5,
1.4,-4.6,-3.8,-332.5,
1.0,-6.9,-1.3,-243.8,
1.1,-7.9,-7.5,-173.8,
1.5,-7.1,-11.3,-98.8,
2.1,-5.1,-12.5,-16.3,
2.9,-3.1,-7.5,-38.8,
3.1,-2.9,-13.8,-21.3,
3.3,-4.0,-8.8,11.3,
4.5,-4.8,-12.5,135.0,
6.4,-5.0,0.0,100.0,
7.3,-5.6,-5.0,25.0,
6.8,-6.4,1.3,103.8,
5.6,-7.0,3.8,101.3,
4.6,-7.1,3.8,38.8,
4.1,-6.8,-1.3,76.3,
3.8,-6.8,6.3,118.8,
3.1,-7.5,1.3,96.3,
2.4,-7.6,3.8,-22.5,
1.8,-6.1,-6.3,-31.3,
0.9,-4.0,-17.5,18.8,
-0.9,-3.3,-11.3,22.5,
