"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
16.3,8.5,2.5,-100.0,
15.1,8.4,-2.5,-52.5,
13.0,5.3,5.0,-62.5,
11.1,1.4,-10.0,-88.8,
9.8,-2.1,-6.3,-83.8,
9.4,-4.1,-1.3,-88.8,
10.1,-4.0,-8.8,-78.8,
10.0,-3.4,-16.3,-75.0,
8.4,-3.6,-17.5,-67.5,
7.5,-2.4,-11.3,-67.5,
7.9,1.5,-20.0,-92.5,
7.5,5.8,-15.0,-76.3,
5.8,8.1,-7.5,-60.0,
3.8,8.6,-15.0,-66.3,
2.8,9.9,-15.0,-83.8,
8.5,14.6,-12.5,-102.5,
13.5,21.6,-10.0,-135.0,
17.8,27.3,-10.0,-137.5,
21.8,30.4,0.0,-155.0,
25.6,32.0,-6.3,-140.0,
28.8,32.1,-3.8,-118.8,
31.0,31.5,0.0,-90.0,
31.6,32.0,15.0,-72.5,
30.0,33.6,12.5,-38.8,
27.4,35.3,12.5,-11.3,
25.1,36.5,15.0,10.0,
23.6,37.1,-1.3,21.3,
22.9,36.9,-10.0,28.8,
21.4,35.4,-15.0,33.8,
17.1,32.0,-13.8,63.8,
10.8,26.9,-18.8,90.0,
4.6,21.1,-18.8,97.5,
0.1,15.8,-3.8,115.0,
-2.5,11.4,-11.3,123.8,
-3.3,8.4,-13.8,120.0,
-1.9,6.5,-7.5,121.3,
0.1,5.5,-1.3,122.5,
1.8,3.9,0.0,122.5,
3.6,0.8,8.8,110.0,
6.5,-2.1,6.3,87.5,
10.3,-3.9,-6.3,70.0,
13.8,-4.3,6.3,63.8,
15.1,-3.4,12.5,66.3,
14.4,-2.9,7.5,56.3,
13.6,-3.8,6.3,26.3,
14.9,-4.0,12.5,-11.3,
17.8,-2.4,7.5,-35.0,
20.8,-0.9,5.0,-52.5,
23.4,-1.0,20.0,-50.0,
24.5,-1.6,17.5,-33.8,
23.4,-1.4,10.0,-26.3,
22.0,-0.8,5.0,0.0,
22.3,-0.5,7.5,20.0,
23.5,-1.3,-1.3,12.5,
24.1,-1.9,-3.8,7.5,
23.1,-0.6,-5.0,3.8,
20.5,1.8,-8.8,-15.0,
17.9,3.0,-8.8,-43.8,
16.9,3.0,-5.0,-83.8,
16.5,4.8,7.5,-128.8,
15.4,9.0,28.8,-172.5,
14.9,12.1,63.8,-192.5,
15.4,11.8,87.5,-218.8,
15.0,8.9,103.8,-253.8,
13.5,5.0,145.0,-287.5,
11.6,1.5,162.5,-301.3,
9.0,-1.5,172.5,-293.8,
5.9,-5.0,182.5,-287.5,
3.8,-8.6,203.8,-267.5,
3.5,-11.6,208.8,-268.8,
4.8,-14.9,203.8,-271.3,
7.3,-17.9,196.3,-256.3,
9.6,-19.6,183.8,-223.8,
11.0,-20.5,158.8,-195.0,
12.5,-20.1,100.0,-168.8,
14.1,-17.9,41.3,-127.5,
14.0,-15.1,-13.8,-60.0,
12.5,-13.5,-62.5,-20.0,
12.0,-12.3,-83.8,12.5,
11.9,-8.8,-118.8,58.8,
10.1,-3.6,-127.5,98.8,
7.9,0.4,-141.3,130.0,
7.3,2.0,-135.0,130.0,
8.0,2.0,-135.0,111.3,
8.9,1.6,-125.0,118.8,
9.1,1.3,-87.5,113.8,
8.0,0.5,-61.3,112.5,
5.4,-2.3,-56.3,101.3,
2.3,-7.3,-48.8,112.5,
-0.6,-12.1,-25.0,146.3,
