"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
13.8,15.8,1388.8,-72.5,
10.9,15.9,1716.3,-51.3,
8.1,15.3,-626.3,-42.5,
7.4,15.6,-2291.3,-41.3,
8.3,17.5,-1040.0,-10.0,
8.0,19.6,-3247.5,25.0,
6.1,20.4,-1395.0,65.0,
5.4,19.4,-3841.3,48.8,
7.0,17.6,-3178.8,45.0,
9.6,16.4,-1703.8,58.8,
12.1,15.5,-3530.0,81.3,
15.0,14.0,-553.8,82.5,
17.8,11.9,-1205.0,63.8,
18.3,10.8,-1575.0,28.8,
16.5,11.0,-403.8,22.5,
15.6,11.4,-1010.0,21.3,
17.3,10.6,-1312.5,-2.5,
19.9,8.6,-1191.3,-35.0,
18.9,7.0,-1495.0,-45.0,
16.6,6.6,-1482.5,-41.3,
13.8,6.4,-3008.8,-26.3,
11.5,5.1,-2062.5,-46.3,
10.1,3.0,-3135.0,-53.8,
9.3,1.0,-2478.8,-77.5,
8.9,-0.6,-441.3,-96.3,
8.8,-2.9,-1792.5,-103.8,
9.3,-5.9,-1002.5,-110.0,
10.6,-8.1,-1810.0,-106.3,
12.8,-8.0,-1793.8,-103.8,
14.6,-5.6,-1273.8,-101.3,
14.8,-2.3,-2626.3,-92.5,
13.3,0.8,-3076.3,-105.0,
11.8,2.5,-3007.5,-98.8,
11.4,3.0,-2592.5,-83.8,
11.8,2.3,-3621.3,-62.5,
11.5,1.1,-4232.5,13.8,
9.9,1.0,-1610.0,186.3,
7.5,2.9,1518.8,443.8,
5.8,7.4,2803.8,748.8,
4.9,14.4,5118.8,973.8,
4.9,21.1,4136.3,1016.3,
6.4,24.0,1810.0,648.8,
9.6,20.6,4477.5,-107.5,
12.5,11.6,3742.5,-792.5,
12.4,0.3,2097.5,-1210.0,
9.4,-9.4,5062.5,-1290.0,
5.9,-15.0,4235.0,-1105.0,
3.6,-16.8,3545.0,-818.8,
1.8,-16.3,3327.5,-488.8,
-0.8,-15.3,5118.8,-253.8,
-3.1,-14.3,5118.8,-158.8,
-4.1,-13.3,3106.3,-118.8,
-3.1,-12.3,5118.8,-72.5,
-0.9,-11.4,3692.5,-53.8,
0.9,-10.9,3511.3,-43.8,
1.6,-10.6,-898.8,-15.0,
1.6,-10.0,-2967.5,2.5,
1.3,-8.6,-1242.5,-2.5,
0.8,-7.3,-2036.3,12.5,
0.1,-6.4,-2721.3,18.8,
-1.4,-5.5,-1000.0,20.0,
-4.0,-4.9,2375.0,35.0,
-6.9,-5.9,-80.0,55.0,
-8.6,-8.9,450.0,53.8,
-9.0,-11.9,1977.5,66.3,
-9.4,-12.8,3933.8,71.3,
-10.9,-12.0,1145.0,77.5,
-11.6,-11.9,1867.5,88.8,
-9.4,-12.0,531.3,86.3,
-5.0,-10.0,-1632.5,85.0,
-1.9,-6.5,-1180.0,93.8,
-2.5,-4.4,-2141.3,112.5,
-5.8,-4.1,-3021.3,123.8,
-8.4,-4.1,-2843.8,136.3,
-8.9,-3.6,-2000.0,146.3,
-8.9,-3.4,-3185.0,165.0,
-10.3,-4.8,-1552.5,182.5,
-12.0,-7.4,-16.3,180.0,
-12.5,-9.4,2427.5,183.8,
-11.9,-8.6,1522.5,180.0,
-11.5,-5.9,1106.3,195.0,
-11.5,-4.1,1143.8,201.3,
-11.0,-4.5,-270.0,185.0,
-10.3,-5.9,-141.3,161.3,
