"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-20.1,0.9,111.3,-140.0,
-14.9,-8.4,102.5,-131.3,
-9.9,-18.5,105.0,-123.8,
-4.4,-27.8,106.3,-120.0,
0.6,-35.3,91.3,-83.8,
3.1,-41.0,95.0,-62.5,
3.5,-45.1,77.5,-22.5,
4.8,-48.4,65.0,30.0,
8.0,-50.6,50.0,72.5,
10.8,-51.3,22.5,100.0,
11.0,-51.8,2.5,102.5,
8.1,-54.3,-33.8,112.5,
2.1,-56.8,-61.3,138.8,
-5.6,-55.6,-92.5,148.8,
-10.6,-52.5,-113.8,175.0,
-8.4,-51.0,-132.5,222.5,
1.5,-50.5,-145.0,258.8,
18.8,-48.5,-150.0,262.5,
11.1,-46.5,-143.8,240.0,
-9.5,-47.0,-142.5,210.0,
-33.6,-48.6,-118.8,188.8,
-49.1,-47.3,-97.5,165.0,
-52.0,-42.9,-60.0,136.3,
-47.3,-41.6,-40.0,81.3,
-41.4,-46.0,-23.8,15.0,
-38.9,-50.5,-37.5,-26.3,
-43.0,-50.3,-72.5,-46.3,
-53.0,-47.5,-106.3,-73.8,
-64.4,-46.9,-140.0,-100.0,
-72.9,-49.1,-143.8,-132.5,
-76.5,-52.3,-141.3,-172.5,
-74.4,-55.1,-107.5,-191.3,
-67.0,-58.1,-57.5,-191.3,
-58.5,-61.4,6.3,-162.5,
-54.1,-63.5,71.3,-151.3,
-54.3,-64.0,120.0,-143.8,
-54.5,-62.1,163.8,-127.5,
-52.5,-57.0,188.8,-113.8,
-48.3,-51.1,212.5,-100.0,
-42.8,-46.9,238.8,-83.8,
-38.8,-42.5,232.5,31.3,
-36.5,-35.9,212.5,231.3,
-33.0,-27.4,201.3,515.0,
-29.6,-18.5,187.5,788.8,
-29.0,-10.9,158.8,1007.5,
-26.9,-5.8,135.0,1026.3,
-18.1,-4.0,105.0,613.8,
-3.9,-5.8,85.0,-102.5,
9.1,-8.8,71.3,-772.5,
14.5,-10.3,33.8,-1126.3,
12.8,-9.6,17.5,-1141.3,
9.8,-7.9,-12.5,-997.5,
8.4,-7.5,-32.5,-756.3,
7.3,-8.8,-58.8,-448.8,
5.8,-8.5,-73.8,-216.3,
4.1,-6.1,-95.0,-95.0,
3.6,-4.8,-111.3,-46.3,
5.5,-5.0,-122.5,-16.3,
7.1,-5.5,-137.5,-22.5,
3.5,-7.3,-145.0,-31.3,
-5.3,-12.3,-146.3,-40.0,
-12.4,-20.0,-165.0,-30.0,
-12.6,-26.5,-172.5,-30.0,
-6.0,-27.9,-168.8,-40.0,
3.3,-23.6,-157.5,-41.3,
10.0,-15.9,-141.3,-23.8,
13.3,-8.1,-130.0,-15.0,
14.1,-5.8,-101.3,2.5,
14.9,-8.9,-76.3,10.0,
19.3,-10.8,-41.3,6.3,
25.5,-6.4,0.0,-17.5,
25.0,1.9,31.3,-17.5,
15.5,9.5,78.8,-12.5,
6.4,13.4,130.0,-15.0,
7.0,12.0,167.5,-22.5,
15.1,8.4,212.5,-37.5,
22.6,7.5,240.0,-33.8,
27.3,10.5,265.0,-22.5,
32.5,15.1,281.3,-2.5,
39.4,20.0,277.5,2.5,
43.9,25.0,273.8,-7.5,
42.3,28.5,252.5,6.3,
37.5,28.3,232.5,20.0,
35.8,26.1,203.8,37.5,
39.0,26.6,182.5,53.8,
46.3,29.3,162.5,76.3,
54.0,31.3,150.0,92.5,
57.6,32.3,136.3,88.8,
54.0,32.1,130.0,77.5,
43.9,30.3,118.8,62.5,
32.4,27.9,105.0,60.0,
26.3,26.5,85.0,76.3,
27.4,26.3,66.3,68.8,
30.1,26.8,46.3,50.0,
30.0,26.1,23.8,38.8,
28.4,22.8,10.0,32.5,
27.5,16.6,-11.3,17.5,
27.5,10.4,-23.8,6.3,
28.4,7.1,-33.8,-15.0,
29.9,6.3,-38.8,-23.8,
29.8,5.3,-43.8,-13.8,
26.8,4.6,-52.5,-13.8,
23.4,4.9,-53.8,-10.0,
20.9,3.9,-53.8,-15.0,
16.5,0.8,-50.0,-12.5,
9.8,-2.4,-41.3,3.8,
1.6,-3.4,-27.5,-2.5,
-6.8,-2.9,-6.3,-7.5,
-12.6,-2.6,12.5,-28.8,
-15.4,-2.6,36.3,-43.8,
-17.0,-0.8,65.0,-38.8,
-17.3,3.6,93.8,-60.0,
-14.6,7.3,121.3,-65.0,
-7.8,7.8,146.3,-53.8,
2.6,7.3,171.3,-25.0,
10.5,9.3,188.8,13.8,
11.8,15.0,197.5,53.8,
10.5,21.6,202.5,86.3,
12.4,26.4,188.8,131.3,
16.4,29.1,178.8,137.5,
19.4,29.0,156.3,143.8,
21.0,24.9,130.0,155.0,
22.5,19.0,118.8,170.0,
24.4,15.5,101.3,175.0,
24.4,16.1,76.3,170.0,
21.4,18.1,72.5,170.0,
19.6,18.9,53.8,173.8,
22.3,19.1,35.0,140.0,
24.9,20.6,8.8,108.8,
21.8,23.1,0.0,82.5,
15.9,23.8,-15.0,60.0,
14.4,21.4,-31.3,11.3,
18.5,19.6,-31.3,-42.5,
24.6,20.8,-27.5,-71.3,
29.0,22.6,-25.0,-96.3,
29.9,23.5,-13.8,-96.3,
27.4,23.3,-3.8,-85.0,
22.9,22.8,-2.5,-96.3,
19.1,23.4,1.3,-103.8,
17.9,26.3,-3.8,-101.3,
18.4,30.6,8.8,-88.8,
20.9,34.3,17.5,-46.3,
26.5,36.0,38.8,48.8,
33.8,38.8,70.0,248.8,
39.6,44.8,90.0,553.8,
43.0,51.8,123.8,818.8,
44.1,56.9,138.8,953.8,
44.6,59.1,136.3,872.5,
44.9,57.4,137.5,361.3,
43.3,50.1,143.8,-371.3,
38.9,38.6,137.5,-992.5,
32.5,28.0,130.0,-1340.0,
25.9,21.4,110.0,-1315.0,
19.5,17.5,96.3,-1092.5,
12.6,14.5,68.8,-783.8,
4.8,12.3,23.8,-485.0,
-3.4,10.8,-18.8,-282.5,
-10.8,9.4,-50.0,-196.3,
-18.4,7.0,-82.5,-140.0,
-26.3,3.5,-111.3,-86.3,
-31.4,0.4,-132.5,-63.8,
-30.8,-1.5,-136.3,-28.8,
-23.9,-0.6,-126.3,-7.5,
-14.8,3.4,-112.5,6.3,
-8.6,8.3,-120.0,28.8,
-7.3,12.1,-131.3,57.5,
-10.3,14.1,-143.8,91.3,
-17.8,12.1,-157.5,118.8,
-28.5,4.4,-162.5,120.0,
-39.1,-6.5,-172.5,105.0,
-45.5,-14.4,-188.8,103.8,
-44.9,-15.4,-213.8,105.0,
-38.0,-11.1,-233.8,123.8,
-28.6,-6.6,-245.0,132.5,
-21.9,-4.5,-251.3,125.0,
-18.8,-2.9,-235.0,136.3,
-16.1,0.0,-221.3,133.8,
-12.3,4.0,-197.5,138.8,
-8.4,10.8,-177.5,161.3,
-4.3,19.6,-151.3,192.5,
0.9,26.6,-136.3,230.0,
6.4,29.8,-121.3,241.3,
11.8,30.0,-116.3,257.5,
16.3,29.3,-105.0,276.3,
19.3,28.1,-90.0,310.0,
23.5,26.1,-65.0,327.5,
31.9,24.5,-22.5,346.3,
43.8,25.5,16.3,350.0,
57.3,27.8,72.5,347.5,
73.3,28.5,107.5,336.3,
92.6,28.6,153.8,313.8,
111.1,31.1,195.0,266.3,
121.8,37.5,236.3,213.8,
122.5,45.5,278.8,170.0,
117.0,50.6,293.8,121.3,
108.6,52.0,306.3,90.0,
98.0,53.0,332.5,56.3,
86.0,55.6,363.8,22.5,
76.1,58.9,390.0,-5.0,
71.8,63.1,410.0,-46.3,
72.1,68.4,445.0,-81.3,
72.5,71.4,470.0,-98.8,
68.4,69.1,460.0,-126.3,
60.6,64.1,441.3,-143.8,
55.6,61.0,431.3,-161.3,
56.0,61.5,415.0,-192.5,
57.6,63.6,416.3,-203.8,
56.5,63.6,408.8,-207.5,
50.8,60.3,387.5,-183.8,
39.9,54.6,348.8,-163.8,
27.0,49.0,300.0,-141.3,
16.3,47.6,243.8,-120.0,
8.6,50.9,176.3,-82.5,
4.9,53.3,122.5,-52.5,
6.3,51.5,67.5,-52.5,
11.3,48.6,32.5,-51.3,
15.6,49.3,0.0,-16.3,
15.8,53.3,-21.3,33.8,
12.1,55.9,-45.0,78.8,
8.6,53.9,-61.3,90.0,
8.8,47.6,-102.5,133.8,
12.9,41.0,-143.8,166.3,
18.8,37.0,-190.0,182.5,
23.6,32.9,-230.0,201.3,
24.4,26.4,-271.3,193.8,
18.8,19.9,-308.8,212.5,
7.6,14.9,-347.5,227.5,
-6.8,9.5,-391.3,203.8,
-22.6,1.8,-431.3,172.5,
-36.0,-7.4,-468.8,165.0,
-44.3,-15.6,-491.3,147.5,
-49.8,-23.0,-515.0,142.5,
-54.9,-31.9,-516.3,147.5,
-60.0,-42.4,-503.8,135.0,
-63.9,-52.9,-468.8,101.3,
-63.4,-62.4,-442.5,48.8,
-58.9,-70.1,-453.8,6.3,
-53.9,-75.8,-473.8,-13.8,
-49.3,-80.1,-456.3,-16.3,
-45.8,-83.9,-413.8,-15.0,
-44.8,-87.5,-382.5,-26.3,
-44.5,-90.1,-360.0,-30.0,
-43.5,-89.4,-321.3,-45.0,
-41.5,-85.3,-232.5,-46.3,
-37.3,-79.8,-122.5,-13.8,
-30.9,-74.1,-12.5,85.0,
-24.9,-67.6,81.3,322.5,
-20.9,-58.4,150.0,652.5,
-16.8,-47.1,205.0,890.0,
-8.8,-36.4,256.3,942.5,
6.3,-25.8,345.0,745.0,
27.8,-15.3,462.5,168.8,
49.6,-7.8,578.8,-568.8,
63.3,-5.5,673.8,-1161.3,
63.9,-8.6,723.8,-1483.8,
55.3,-14.9,723.8,-1402.5,
43.8,-20.3,717.5,-1112.5,
31.0,-24.0,698.8,-720.0,
18.3,-29.0,663.8,-392.5,
9.3,-35.3,623.8,-242.5,
3.8,-40.3,593.8,-207.5,
-4.6,-42.9,547.5,-151.3,
-19.8,-43.0,477.5,-82.5,
-36.8,-43.5,402.5,-40.0,
-48.1,-46.9,342.5,-23.8,
-51.8,-51.8,307.5,-2.5,
-50.5,-55.8,236.3,33.8,
-49.5,-58.0,168.8,31.3,
-52.4,-58.6,80.0,37.5,
-58.5,-58.6,-20.0,31.3,
-65.3,-58.3,-110.0,18.8,
-70.4,-58.4,-183.8,51.3,
-73.6,-61.1,-250.0,80.0,
-77.4,-63.4,-300.0,96.3,
-83.5,-60.4,-341.3,143.8,
-91.0,-54.6,-372.5,195.0,
-97.5,-52.0,-393.8,213.8,
-100.4,-53.1,-410.0,233.8,
-100.0,-56.0,-415.0,260.0,
-99.3,-60.0,-432.5,286.3,
-98.8,-65.1,-435.0,303.8,
-98.4,-68.8,-450.0,308.8,
-98.3,-69.3,-455.0,320.0,
-97.5,-69.4,-451.3,327.5,
-95.9,-71.0,-435.0,342.5,
-94.0,-71.1,-411.3,338.8,
-92.4,-67.8,-378.8,338.8,
-91.0,-64.4,-347.5,323.8,
-88.8,-63.8,-325.0,326.3,
-86.3,-64.9,-305.0,317.5,
-84.0,-64.8,-295.0,310.0,
-81.4,-61.9,-285.0,295.0,
-78.5,-59.0,-280.0,257.5,
-74.9,-58.6,-271.3,223.8,
-69.9,-59.5,-271.3,193.8,
-63.5,-57.6,-266.3,136.3,
-55.5,-50.9,-275.0,96.3,
-46.5,-41.8,-273.8,62.5,
-38.0,-34.1,-276.3,38.8,
-30.3,-28.4,-276.3,13.8,
-22.3,-23.4,-273.8,-12.5,
-13.9,-17.5,-268.8,-41.3,
-5.8,-10.1,-268.8,-58.8,
1.1,-2.8,-253.8,-90.0,
4.4,3.8,-235.0,-125.0,
3.0,8.6,-227.5,-136.3,
-0.6,12.5,-210.0,-150.0,
-2.8,17.9,-195.0,-151.3,
-2.0,24.5,-176.3,-161.3,
-0.1,29.3,-152.5,-157.5,
1.8,31.1,-130.0,-157.5,
4.5,31.9,-92.5,-162.5,
7.0,33.9,-70.0,-152.5,
7.3,38.0,-45.0,-127.5,
5.9,41.9,-11.3,-92.5,
5.6,43.0,11.3,-50.0,
7.6,42.6,26.3,-36.3,
10.6,42.6,43.8,-3.8,
13.9,43.9,55.0,12.5,
17.3,46.5,65.0,36.3,
20.6,49.3,63.8,77.5,
24.0,51.3,61.3,105.0,
26.5,53.3,62.5,106.3,
27.0,55.3,47.5,130.0,
25.3,56.4,37.5,137.5,
22.5,57.3,38.8,160.0,
20.8,59.5,27.5,162.5,
20.8,63.0,26.3,146.3,
21.1,66.0,11.3,125.0,
20.9,67.0,15.0,103.8,
20.8,66.3,17.5,85.0,
21.9,64.6,23.8,61.3,
23.8,63.1,26.3,10.0,
24.8,62.0,37.5,-12.5,
24.8,59.6,51.3,-6.3,
25.1,55.0,65.0,15.0,
26.3,49.9,83.8,13.8,
27.5,46.0,88.8,-13.8,
28.0,43.4,100.0,-46.3,
26.6,41.4,107.5,-88.8,
22.8,39.9,115.0,-102.5,
17.9,38.4,125.0,-105.0,
15.0,36.0,137.5,-98.8,
15.9,34.4,133.8,-88.8,
19.4,35.5,140.0,-83.8,
23.3,38.1,133.8,-68.8,
25.9,39.4,132.5,-46.3,
27.3,37.3,126.3,-40.0,
28.0,32.8,130.0,-46.3,
27.8,27.1,130.0,3.8,
25.9,21.8,122.5,152.5,
23.1,19.3,117.5,417.5,
22.3,20.8,115.0,733.8,
23.4,23.8,117.5,903.8,
21.9,25.9,113.8,893.8,
14.6,26.5,110.0,576.3,
4.4,23.9,103.8,-97.5,
-4.5,16.4,102.5,-783.8,
-10.8,6.3,105.0,-1270.0,
-15.3,-1.9,108.8,-1432.5,
-18.8,-5.5,112.5,-1230.0,
-20.8,-6.9,116.3,-860.0,
-21.1,-8.6,107.5,-505.0,
-21.6,-10.4,108.8,-241.3,
-23.3,-12.6,106.3,-162.5,
-25.9,-17.5,110.0,-186.3,
-28.5,-24.0,105.0,-200.0,
-27.9,-28.9,103.8,-191.3,
-19.8,-31.5,97.5,-193.8,
-2.0,-33.3,85.0,-198.8,
23.4,-34.9,75.0,-243.8,
50.3,-35.0,70.0,-316.3,
69.1,-32.6,63.8,-356.3,
71.1,-29.6,53.8,-417.5,
55.9,-28.9,35.0,-420.0,
34.8,-31.1,10.0,-307.5,
19.1,-35.0,-10.0,-157.5,
8.8,-38.8,-31.3,-120.0,
-7.1,-41.8,-47.5,-180.0,
-38.3,-45.3,-63.8,-208.8,
-79.0,-49.3,-78.8,-240.0,
-110.1,-50.4,-76.3,-266.3,
-118.9,-45.6,-78.8,-203.8,
-109.0,-34.5,-73.8,0.0,
-90.8,-18.8,-72.5,387.5,
-72.6,-2.9,-61.3,888.8,
-60.8,9.4,-65.0,1276.3,
-56.5,17.8,-67.5,1481.3,
-53.6,24.1,-68.8,1507.5,
-43.9,30.5,-95.0,1416.3,
-30.0,38.1,-111.3,1360.0,
-21.4,48.0,-132.5,1423.8,
-17.0,60.3,-147.5,1532.5,
-5.3,71.6,-160.0,1638.8,
14.1,75.8,-188.8,1692.5,
25.1,70.0,-205.0,1582.5,
18.6,58.9,-225.0,1250.0,
1.6,50.0,-248.8,682.5,
-19.1,49.8,-280.0,-21.3,
-42.0,57.9,-296.3,-606.3,
-61.6,69.3,-320.0,-975.0,
-72.5,78.6,-346.3,-1188.8,
-76.1,83.4,-362.5,-1346.3,
-79.6,86.5,-375.0,-1397.5,
-88.3,84.3,-372.5,-1437.5,
-95.6,66.8,-357.5,-1556.3,
-88.5,45.9,-332.5,-1573.8,
-68.0,45.8,-321.3,-1453.8,
-50.4,67.1,-320.0,-1105.0,
-44.3,83.6,-288.8,-518.8,
-44.1,79.8,-281.3,67.5,
-43.6,71.8,-267.5,472.5,
-43.9,77.9,-245.0,405.0,
-49.5,87.8,-225.0,188.8,
-57.1,81.6,-182.5,-16.3,
-56.6,64.8,-148.8,-261.3,
-47.0,54.1,-120.0,-490.0,
-36.0,53.1,-93.8,-602.5,
-23.8,49.8,-71.3,-477.5,
-1.6,31.9,-56.3,-193.8,
33.9,-0.4,-38.8,63.8,
71.8,-36.0,-23.8,310.0,
91.8,-66.3,6.3,513.8,
85.6,-98.6,32.5,451.3,
63.3,-141.0,48.8,16.3,
37.6,-177.9,68.8,-692.5,
14.9,-192.9,82.5,-1523.8,
-7.0,-201.0,87.5,-2442.5,
-30.8,-226.3,82.5,-3095.0,
-42.8,-266.0,48.8,-2432.5,
-25.3,-298.9,17.5,-957.5,
14.3,-311.5,-36.3,360.0,
51.6,-302.5,-87.5,948.8,
73.6,-274.3,-175.0,783.8,
88.6,-223.0,-243.8,517.5,
108.4,-150.0,-245.0,350.0,
125.4,-75.8,-241.3,280.0,
127.1,-18.6,-237.5,358.8,
116.9,16.9,-262.5,455.0,
104.4,35.5,-273.8,430.0,
96.3,50.9,-266.3,336.3,
100.4,69.4,-206.3,305.0,
116.9,84.8,-133.8,368.8,
127.3,93.1,-36.3,336.3,
115.5,97.4,20.0,173.8,
89.8,103.5,72.5,-71.3,
70.6,113.9,138.8,-336.3,
73.3,123.6,191.3,-548.8,
100.4,130.6,235.0,-648.8,
143.5,138.1,265.0,-621.3,
190.9,142.1,278.8,-425.0,
231.4,132.4,265.0,-121.3,
256.0,107.4,222.5,58.8,
263.1,79.0,180.0,118.8,
257.1,63.5,141.3,270.0,
238.9,68.5,111.3,452.5,
208.0,76.8,98.8,696.3,
171.6,56.1,83.8,1055.0,
140.0,-1.3,77.5,1337.5,
120.5,-55.6,77.5,1463.8,
116.0,-50.0,77.5,1206.3,
122.0,15.6,81.3,448.8,
129.9,74.0,107.5,-427.5,
135.5,76.9,145.0,-976.3,
141.3,48.9,202.5,-1030.0,
149.3,40.3,251.3,-780.0,
155.4,63.1,291.3,-483.8,
154.9,95.9,321.3,-333.8,
150.0,124.8,362.5,-302.5,
144.0,155.9,377.5,-371.3,
136.6,192.3,388.8,-477.5,
128.4,223.6,392.5,-486.3,
120.9,242.0,392.5,-372.5,
113.4,249.6,386.3,-243.8,
102.9,248.5,392.5,-77.5,
89.1,236.6,396.3,117.5,
75.4,214.4,412.5,256.3,
62.5,188.4,421.3,311.3,
49.9,168.5,436.3,360.0,
36.9,160.0,441.3,382.5,
23.3,159.3,447.5,372.5,
11.6,154.0,456.3,382.5,
6.9,134.4,460.0,408.8,
10.1,107.6,466.3,382.5,
16.4,83.3,460.0,353.8,
18.4,53.3,456.3,308.8,
12.5,3.5,451.3,250.0,
1.8,-62.4,436.3,221.3,
-8.9,-115.9,422.5,217.5,
-18.3,-132.0,407.5,223.8,
-29.0,-116.3,386.3,230.0,
-43.9,-92.3,347.5,252.5,
-61.0,-79.9,301.3,263.8,
-76.3,-87.1,265.0,272.5,
-88.9,-110.8,233.8,276.3,
-101.4,-138.6,208.8,317.5,
-113.8,-157.3,197.5,372.5,
-122.1,-161.6,188.8,411.3,
-125.0,-159.0,195.0,446.3,
-128.0,-163.4,193.8,482.5,
-139.6,-179.3,181.3,515.0,
-160.0,-190.1,181.3,537.5,
-178.1,-180.9,171.3,530.0,
-172.5,-161.9,160.0,503.8,
-116.5,-159.6,176.3,495.0,
15.9,-192.9,185.0,443.8,
216.4,-254.8,193.8,386.3,
356.8,-316.5,203.8,333.8,
262.6,-355.3,213.8,297.5,
-34.1,-366.5,225.0,220.0,
-300.8,-354.6,230.0,110.0,
-400.0,-326.1,227.5,-45.0,
-405.3,-280.4,230.0,-287.5,
-428.0,-215.5,233.8,-535.0,
-457.6,-141.9,228.8,-866.3,
-419.8,-78.3,222.5,-1383.8,
-332.4,-31.0,207.5,-1288.8,
-274.3,9.6,173.8,-797.5,
-271.0,44.1,142.5,-383.8,
-307.9,65.4,110.0,-361.3,
-362.6,80.6,75.0,-652.5,
-419.5,107.8,51.3,-691.3,
-466.4,155.0,27.5,-413.8,
-495.6,213.6,2.5,-205.0,
-485.3,274.5,-2.5,-298.8,
-417.6,336.3,1.3,-176.3,
-346.1,376.6,35.0,58.8,
-290.9,349.4,67.5,-205.0,
-189.0,250.4,98.8,-847.5,
-16.4,148.5,130.0,-857.5,
169.8,112.9,158.8,-385.0,
286.1,144.9,176.3,113.8,
295.1,195.5,191.3,227.5,
230.0,215.9,172.5,75.0,
143.0,178.4,161.3,108.8,
60.5,85.9,140.0,325.0,
-5.5,-17.9,107.5,597.5,
-40.1,-79.1,73.8,858.8,
-25.9,-85.4,42.5,1012.5,
36.8,-73.9,11.3,855.0,
109.6,-83.4,-26.3,620.0,
150.8,-111.8,-85.0,602.5,
160.0,-136.6,-140.0,506.3,
157.4,-151.0,-201.3,206.3,
143.5,-159.3,-258.8,-2.5,
113.5,-164.9,-303.8,-87.5,
77.8,-169.6,-347.5,-142.5,
48.9,-169.9,-390.0,-102.5,
33.0,-161.4,-418.8,-72.5,
40.0,-147.0,-438.8,-143.8,
77.8,-130.4,-456.3,-220.0,
132.8,-111.4,-448.8,-263.8,
176.0,-93.4,-455.0,-298.8,
189.5,-81.8,-460.0,-327.5,
177.4,-76.0,-462.5,-347.5,
156.4,-71.6,-458.8,-350.0,
141.3,-67.1,-447.5,-357.5,
135.4,-64.3,-450.0,-352.5,
135.9,-62.5,-456.3,-341.3,
142.5,-58.9,-486.3,-352.5,
153.9,-51.8,-522.5,-365.0,
163.1,-41.4,-560.0,-365.0,
161.9,-28.6,-588.8,-290.0,
145.5,-15.6,-600.0,-125.0,
116.6,-4.3,-613.8,171.3,
84.3,8.3,-630.0,460.0,
55.0,27.6,-635.0,705.0,
28.3,50.5,-647.5,805.0,
0.1,63.1,-646.3,441.3,
-25.4,56.4,-650.0,-281.3,
-36.6,35.4,-645.0,-942.5,
-32.6,14.6,-640.0,-1282.5,
-25.4,4.0,-630.0,-1262.5,
-23.6,2.1,-616.3,-1067.5,
-27.5,2.0,-588.8,-780.0,
-31.1,-1.6,-548.8,-455.0,
-34.9,-7.5,-505.0,-232.5,
-49.3,-12.1,-480.0,-133.8,
-77.9,-14.5,-447.5,-33.8,
-108.9,-13.0,-405.0,86.3,
-127.5,-9.4,-362.5,173.8,
-127.3,-11.5,-317.5,197.5,
-112.5,-25.1,-267.5,232.5,
-103.8,-47.3,-207.5,313.8,
-116.6,-66.4,-153.8,411.3,
-133.0,-68.6,-105.0,490.0,
-128.1,-51.3,-51.3,461.3,
-98.8,-27.9,-11.3,378.8,
-55.6,-13.9,27.5,308.8,
-10.3,-14.3,65.0,282.5,
32.4,-24.9,80.0,265.0,
65.3,-37.9,103.8,261.3,
78.1,-46.8,126.3,258.8,
71.9,-48.9,146.3,262.5,
58.1,-45.4,161.3,250.0,
45.9,-38.1,170.0,210.0,
39.0,-25.4,175.0,188.8,
38.5,-6.1,173.8,187.5,
41.3,13.4,173.8,185.0,
42.6,23.4,177.5,187.5,
42.1,21.5,176.3,200.0,
42.1,14.9,163.8,210.0,
41.6,9.0,152.5,208.8,
38.6,4.3,142.5,220.0,
32.9,-0.1,128.8,220.0,
25.4,-4.4,117.5,230.0,
19.0,-7.5,101.3,236.3,
18.4,-6.9,102.5,225.0,
23.8,0.0,110.0,218.8,
29.8,10.5,117.5,225.0,
32.9,18.5,122.5,216.3,
32.6,22.3,122.5,182.5,
30.1,23.9,135.0,170.0,
27.8,25.8,147.5,162.5,
26.5,28.6,166.3,137.5,
26.0,31.1,195.0,127.5,
26.5,32.6,230.0,126.3,
28.3,33.3,253.8,146.3,
30.8,33.1,282.5,163.8,
31.6,31.4,290.0,148.8,
28.5,26.1,302.5,142.5,
25.0,16.1,303.8,130.0,
41.0,-0.3,306.3,112.5,
126.8,-21.1,303.8,12.5,
287.6,-32.3,293.8,-132.5,
442.3,-20.0,297.5,-370.0,
501.1,2.0,296.3,-846.3,
412.1,-1.3,276.3,-950.0,
236.9,-43.6,266.3,-716.3,
76.6,-90.4,245.0,-471.3,
-49.1,-94.6,223.8,-301.3,
-113.4,-49.6,207.5,-205.0,
-96.4,14.4,186.3,-73.8,
-48.8,62.6,165.0,63.8,
-26.1,77.5,148.8,41.3,
-55.1,64.4,131.3,-18.8,
-130.3,43.6,117.5,47.5,
-215.3,33.6,97.5,111.3,
-277.0,38.6,63.8,122.5,
-290.4,52.5,32.5,168.8,
-234.4,69.0,-8.8,206.3,
-137.9,82.6,-46.3,173.8,
-64.5,86.4,-76.3,143.8,
-34.0,79.1,-101.3,125.0,
-26.4,64.5,-138.8,111.3,
-35.9,42.3,-167.5,133.8,
-68.9,14.1,-203.8,196.3,
-118.4,-13.4,-258.8,230.0,
-160.1,-33.5,-291.3,247.5,
