"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
51.8,57.9,1990.0,-121.3,
52.1,56.9,1890.0,-126.3,
50.8,55.4,2326.3,-117.5,
48.9,52.6,2243.8,-102.5,
47.3,49.3,-211.3,-103.8,
45.3,47.1,263.8,-118.8,
42.1,47.1,-398.8,-108.8,
38.1,48.9,-837.5,-101.3,
33.4,51.3,-3.8,-87.5,
28.1,53.1,-775.0,-88.8,
23.8,54.4,-2345.0,-95.0,
21.0,55.1,-2142.5,-88.8,
18.4,55.1,-1417.5,-81.3,
14.1,55.0,-201.3,-62.5,
8.4,55.1,-233.8,-55.0,
2.3,55.1,106.3,-55.0,
-3.1,54.5,110.0,-67.5,
-7.3,54.5,2.5,-55.0,
-9.6,56.5,1398.8,-36.3,
-10.8,58.9,1140.0,-30.0,
-11.0,58.8,1753.8,-27.5,
-9.6,56.1,1238.8,-37.5,
-6.3,53.6,1723.8,-50.0,
-1.9,53.1,2387.5,-52.5,
2.3,54.6,1828.8,-55.0,
5.4,57.6,2383.8,-50.0,
7.1,61.0,1992.5,-36.3,
7.4,62.4,1033.8,-43.8,
6.4,61.1,1456.3,-55.0,
4.1,59.8,977.5,-65.0,
-1.3,60.4,2298.8,-51.3,
-11.0,62.4,1708.8,-42.5,
-21.4,63.9,1717.5,-37.5,
-27.0,63.4,952.5,-53.8,
-26.5,61.3,783.8,-57.5,
-22.9,58.9,1385.0,-47.5,
-18.9,56.5,1316.3,-51.3,
-15.0,54.1,1185.0,-48.8,
-10.9,52.0,1487.5,-47.5,
-7.3,49.1,942.5,-38.8,
-4.3,45.1,57.5,-46.3,
-1.0,40.8,93.8,-52.5,
3.0,37.9,1226.3,-53.8,
7.6,37.6,1561.3,-57.5,
13.1,39.1,1007.5,-62.5,
18.8,40.4,356.3,-58.8,
23.6,40.3,-711.3,-83.8,
28.1,39.5,-1282.5,-81.3,
33.0,39.1,-1773.8,-80.0,
38.0,39.0,-1896.3,-96.3,
42.0,38.8,-1590.0,-105.0,
43.9,38.6,-1130.0,-115.0,
44.1,39.1,-1237.5,-130.0,
44.8,40.1,-1363.8,-131.3,
46.9,41.5,-928.8,-131.3,
49.4,43.4,-1657.5,-116.3,
50.4,45.9,-1546.3,-100.0,
50.4,47.6,-1290.0,-106.3,
50.9,45.8,-1752.5,-111.3,
51.6,40.0,-1722.5,-113.8,
51.9,33.6,-421.3,-95.0,
51.9,28.9,1076.3,-92.5,
52.3,25.5,1532.5,-87.5,
53.3,23.1,1323.8,-80.0,
54.8,21.0,572.5,-46.3,
56.1,18.4,145.0,-41.3,
56.9,14.9,-190.0,-26.3,
56.5,11.3,-22.5,-10.0,
54.9,8.5,263.8,10.0,
52.6,7.5,218.8,1.3,
50.3,8.9,-117.5,0.0,
47.8,12.6,-817.5,2.5,
45.9,17.0,-1283.8,10.0,
45.6,19.8,-1467.5,-11.3,
47.1,19.6,-1183.8,-16.3,
48.9,18.3,-1238.8,-32.5,
49.5,18.3,-1165.0,-41.3,
50.0,20.5,-422.5,-66.3,
52.1,23.3,281.3,-72.5,
55.4,24.4,15.0,-68.8,
57.5,24.0,-643.8,-61.3,
57.6,24.1,-1132.5,-62.5,
56.0,25.8,-1630.0,-68.8,
52.8,27.5,-1400.0,-87.5,
49.3,28.8,-496.3,-95.0,
47.0,30.1,283.8,-86.3,
46.0,30.8,918.8,-80.0,
45.0,29.3,447.5,-68.8,
43.1,26.5,-291.3,-31.3,
41.1,24.1,416.3,-15.0,
39.9,23.0,446.3,-21.3,
39.4,23.0,-135.0,-25.0,
39.9,23.4,-768.8,-20.0,
41.5,23.0,-838.8,-12.5,
43.6,21.1,-810.0,18.8,
45.1,19.0,-1860.0,60.0,
45.1,18.1,-1558.8,156.3,
43.9,19.0,-157.5,303.8,
42.5,21.4,603.8,477.5,
41.8,26.0,523.8,658.8,
41.8,33.6,271.3,831.3,
41.9,42.6,198.8,822.5,
42.3,49.0,-172.5,441.3,
44.8,48.6,-468.8,-150.0,
50.6,41.1,-123.8,-620.0,
57.9,29.8,402.5,-847.5,
62.8,18.5,361.3,-862.5,
63.4,10.8,45.0,-753.8,
61.3,7.3,-53.8,-550.0,
58.5,6.8,-88.8,-277.5,
56.3,7.9,62.5,-90.0,
54.4,9.3,352.5,-7.5,
53.0,10.5,208.8,47.5,
52.4,12.3,-285.0,102.5,
52.4,14.4,-380.0,123.8,
52.5,16.8,-466.3,135.0,
52.5,19.0,-148.8,157.5,
52.1,20.5,433.8,163.8,
50.8,20.5,523.8,180.0,
48.3,19.5,222.5,190.0,
45.4,18.4,40.0,187.5,
43.1,18.0,43.8,181.3,
41.6,18.8,85.0,195.0,
40.3,19.9,30.0,201.3,
39.0,19.8,37.5,180.0,
38.5,18.5,-42.5,142.5,
38.9,16.8,-3.8,120.0,
39.8,14.6,315.0,110.0,
41.0,12.4,380.0,112.5,
42.8,10.4,310.0,103.8,
42.9,9.3,233.8,105.0,
37.3,9.3,98.8,71.3,
25.6,9.8,-680.0,71.3,
13.8,9.3,-800.0,72.5,
6.5,7.4,-407.5,66.3,
4.1,5.8,-610.0,70.0,
4.0,6.0,-900.0,82.5,
3.6,7.9,-515.0,106.3,
3.3,9.1,-472.5,118.8,
3.5,8.0,-573.8,105.0,
3.1,5.8,-711.3,130.0,
1.4,4.3,-1067.5,160.0,
-0.9,3.4,-956.3,181.3,
-2.4,2.5,-488.8,191.3,
-2.6,0.9,-320.0,178.8,
