"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-5.1,-18.6,-53.8,112.5,
-2.6,-17.8,-40.0,108.8,
-4.3,-18.1,-18.8,108.8,
-4.1,-17.1,-1.3,112.5,
-1.3,-13.4,0.0,122.5,
-0.6,-9.4,2.5,143.8,
-3.0,-7.6,-8.8,132.5,
-4.3,-7.6,-21.3,138.8,
-3.3,-8.4,-42.5,162.5,
-2.9,-9.4,-70.0,168.8,
-3.9,-9.8,-96.3,155.0,
-5.0,-10.5,-116.3,145.0,
-6.6,-11.9,-128.8,158.8,
-9.5,-12.9,-155.0,171.3,
-12.1,-11.9,-147.5,160.0,
-12.9,-6.8,-125.0,150.0,
-12.4,1.3,-111.3,151.3,
-12.6,7.3,-96.3,171.3,
-14.4,9.1,-67.5,172.5,
-14.0,8.8,-35.0,163.8,
-15.5,7.6,-15.0,160.0,
-19.9,6.5,17.5,145.0,
-23.4,6.0,33.8,141.3,
-22.4,6.5,60.0,140.0,
-17.3,7.4,60.0,133.8,
-11.1,6.6,67.5,150.0,
-7.3,2.6,65.0,142.5,
-6.5,-2.9,46.3,135.0,
-7.3,-4.6,38.8,123.8,
-8.9,-2.9,23.8,126.3,
-11.5,-3.5,-16.3,113.8,
-12.8,-7.9,-43.8,75.0,
-11.3,-12.6,-60.0,27.5,
-9.4,-14.8,-66.3,-15.0,
-7.6,-14.0,-82.5,-26.3,
-4.4,-11.4,-88.8,-55.0,
-2.1,-8.3,-87.5,-103.8,
-2.4,-7.1,-73.8,-120.0,
-3.6,-9.5,-77.5,-116.3,
-6.4,-13.1,-58.8,-116.3,
-10.4,-15.0,-30.0,-138.8,
-15.0,-15.1,-12.5,-138.8,
-18.6,-15.5,12.5,-123.8,
-18.9,-15.5,27.5,-106.3,
-17.8,-13.6,28.8,-110.0,
-17.6,-11.9,38.8,-120.0,
-17.0,-11.3,50.0,-136.3,
-14.9,-10.0,37.5,-156.3,
-12.6,-7.8,36.3,-155.0,
-11.3,-4.1,36.3,-153.8,
-11.4,0.4,32.5,-163.8,
-12.3,3.8,20.0,-162.5,
-12.6,5.6,8.8,-132.5,
-11.8,5.8,-1.3,-112.5,
-10.9,4.4,-25.0,-112.5,
-12.6,1.9,-48.8,-112.5,
-17.6,-2.6,-55.0,-117.5,
-22.3,-8.3,-60.0,-120.0,
-22.5,-11.8,-53.8,-108.8,
-18.8,-10.9,-41.3,-110.0,
-14.0,-5.9,-33.8,-110.0,
-9.6,1.4,-20.0,-115.0,
-7.6,8.5,-6.3,-91.3,
-9.3,11.8,1.3,-73.8,
-10.8,9.6,-2.5,-67.5,
-7.3,5.0,0.0,-76.3,
-0.8,0.6,-18.8,-71.3,
3.0,-3.0,-35.0,-40.0,
2.6,-5.5,-70.0,-22.5,
0.9,-6.5,-91.3,-28.8,
1.0,-6.6,-105.0,-40.0,
2.6,-6.8,-91.3,-48.8,
2.8,-6.9,-82.5,-16.3,
2.1,-6.0,-78.8,6.3,
3.3,-2.6,-71.3,-2.5,
5.8,3.1,-61.3,-16.3,
7.6,10.1,-53.8,3.8,
7.9,15.8,-45.0,12.5,
7.9,16.8,-35.0,7.5,
9.4,13.6,-18.8,-20.0,
10.4,8.9,-18.8,-36.3,
8.9,4.3,-3.8,-48.8,
7.9,0.0,5.0,-43.8,
9.0,-3.3,18.8,-52.5,
10.1,-4.9,18.8,-37.5,
10.3,-4.0,25.0,-16.3,
9.4,-0.1,31.3,3.8,
7.3,3.9,20.0,21.3,
4.8,4.3,31.3,16.3,
1.6,2.3,38.8,13.8,
-1.4,0.0,30.0,-2.5,
-1.8,-2.1,26.3,-15.0,
0.8,-2.1,30.0,-23.8,
3.8,2.4,26.3,-32.5,
6.3,8.8,23.8,-35.0,
8.9,12.4,27.5,-35.0,
11.9,11.1,28.8,-42.5,
13.8,6.6,31.3,-20.0,
12.9,2.0,32.5,0.0,
8.1,-2.0,30.0,13.8,
1.0,-5.5,20.0,12.5,
-3.8,-6.9,23.8,3.8,
-3.5,-5.1,33.8,5.0,
-1.5,-4.0,35.0,7.5,
-2.1,-7.4,46.3,15.0,
-5.9,-14.6,28.8,20.0,
-10.0,-20.9,-11.3,20.0,
-10.8,-22.3,-50.0,22.5,
-6.5,-19.4,-80.0,30.0,
-1.1,-14.8,-93.8,36.3,
0.3,-11.1,-92.5,42.5,
-3.3,-10.5,-63.8,46.3,
-8.4,-12.1,-12.5,46.3,
-10.9,-14.4,40.0,20.0,
-9.9,-17.0,78.8,33.8,
-7.3,-18.8,112.5,36.3,
-4.3,-17.3,138.8,28.8,
-1.5,-11.4,152.5,15.0,
0.5,-2.9,170.0,26.3,
1.6,4.3,163.8,41.3,
1.9,6.8,157.5,46.3,
1.3,3.5,143.8,38.8,
0.8,-3.5,145.0,18.8,
0.6,-10.0,125.0,-5.0,
0.3,-12.8,123.8,-22.5,
-0.4,-10.0,130.0,-21.3,
-1.1,-1.0,142.5,-12.5,
-1.1,10.5,123.8,-20.0,
0.3,16.9,120.0,-22.5,
3.6,14.8,105.0,-35.0,
9.8,10.1,91.3,-23.8,
12.4,10.3,85.0,-13.8,
3.1,10.4,86.3,-18.8,
-15.9,-0.6,75.0,-7.5,
-36.1,-22.8,66.3,-7.5,
-51.5,-46.1,61.3,1.3,
-63.3,-64.8,63.8,36.3,
-75.3,-80.0,75.0,120.0,
-87.8,-94.0,86.3,278.8,
-100.1,-105.8,80.0,502.5,
-113.5,-115.0,73.8,718.8,
-125.6,-123.6,60.0,856.3,
-132.5,-131.6,63.8,722.5,
-133.8,-138.1,55.0,170.0,
-134.6,-144.1,46.3,-505.0,
-139.5,-152.3,50.0,-917.5,
-146.0,-164.4,45.0,-992.5,
-149.5,-177.9,51.3,-807.5,
-148.5,-186.5,50.0,-562.5,
-144.4,-186.4,32.5,-303.8,
-139.0,-178.6,17.5,-90.0,
-132.0,-169.8,7.5,3.8,
-122.1,-163.8,5.0,7.5,
-111.1,-157.1,-7.5,17.5,
-100.8,-146.6,-22.5,28.8,
-90.8,-132.9,-43.8,41.3,
-80.9,-117.0,-66.3,56.3,
-68.8,-100.0,-76.3,76.3,
-52.6,-81.1,-85.0,83.8,
-35.5,-60.8,-100.0,81.3,
-20.5,-41.4,-100.0,75.0,
-7.4,-24.6,-97.5,75.0,
5.3,-11.1,-85.0,65.0,
17.1,0.1,-78.8,58.8,
28.0,11.8,-58.8,48.8,
38.3,25.0,-31.3,43.8,
46.1,38.3,-12.5,65.0,
50.6,48.6,-3.8,75.0,
52.5,55.9,30.0,62.5,
52.6,62.1,48.8,48.8,
51.5,68.0,62.5,57.5,
50.3,73.9,62.5,83.8,
50.5,80.4,65.0,117.5,
52.8,86.4,47.5,128.8,
54.9,88.5,11.3,135.0,
56.0,85.5,-5.0,130.0,
56.0,81.0,-28.8,123.8,
53.9,77.5,-41.3,123.8,
51.3,74.1,-41.3,133.8,
49.9,70.9,-36.3,148.8,
49.0,69.1,-53.8,170.0,
48.5,69.9,-60.0,167.5,
48.9,74.0,-30.0,150.0,
48.4,80.0,-15.0,160.0,
45.3,83.8,23.8,156.3,
40.5,83.0,57.5,151.3,
35.9,79.8,91.3,148.8,
33.8,76.6,101.3,116.3,
35.0,74.1,113.8,98.8,
36.8,72.0,125.0,65.0,
37.4,69.8,132.5,56.3,
38.9,67.0,122.5,65.0,
42.0,63.4,112.5,56.3,
44.8,58.6,101.3,62.5,
44.8,54.3,92.5,71.3,
41.5,50.0,77.5,80.0,
38.3,43.9,48.8,73.8,
38.1,38.3,36.3,45.0,
40.4,36.5,26.3,17.5,
42.5,36.9,15.0,7.5,
43.1,34.4,-1.3,-8.8,
42.1,28.5,-16.3,-45.0,
39.0,24.8,-13.8,-73.8,
34.4,25.5,5.0,-107.5,
30.6,27.0,8.8,-122.5,
30.3,26.8,22.5,-112.5,
32.6,26.1,41.3,-132.5,
34.6,26.8,55.0,-141.3,
35.1,28.9,76.3,-145.0,
35.4,32.8,76.3,-170.0,
34.8,38.3,73.8,-180.0,
31.8,43.5,72.5,-162.5,
26.9,45.0,68.8,-163.8,
21.6,40.9,52.5,-167.5,
18.1,34.0,41.3,-162.5,
18.5,28.9,41.3,-141.3,
22.1,27.0,33.8,-135.0,
24.9,26.9,3.8,-141.3,
23.8,25.6,-10.0,-133.8,
21.0,22.0,-23.8,-128.8,
20.8,17.3,-40.0,-125.0,
24.1,12.4,-56.3,-136.3,
27.0,8.1,-58.8,-123.8,
24.9,5.5,-67.5,-107.5,
19.0,5.1,-52.5,-90.0,
13.5,7.1,-22.5,-78.8,
10.0,10.8,20.0,-63.8,
7.4,13.3,48.8,-73.8,
4.5,12.8,82.5,-70.0,
1.6,11.0,95.0,-82.5,
-0.6,9.5,88.8,-80.0,
-2.1,8.0,83.8,-60.0,
-3.8,5.5,67.5,-48.8,
-7.3,2.1,40.0,-50.0,
-12.1,-1.0,16.3,-37.5,
-15.1,-3.8,-21.3,-22.5,
-16.1,-6.0,-51.3,-22.5,
-17.0,-7.4,-82.5,-40.0,
-17.1,-7.6,-98.8,-52.5,
-16.3,-7.0,-118.8,-36.3,
-15.4,-6.9,-130.0,-33.8,
-12.9,-7.4,-140.0,-26.3,
-8.1,-5.8,-122.5,-37.5,
-4.8,-2.5,-116.3,-55.0,
-5.6,-2.8,-111.3,-56.3,
-9.4,-8.3,-107.5,-56.3,
-13.3,-14.6,-97.5,-35.0,
-16.8,-18.0,-100.0,-21.3,
-19.0,-17.9,-83.8,-1.3,
-20.4,-14.9,-50.0,5.0,
-22.4,-11.3,-25.0,1.3,
-24.6,-9.9,-12.5,1.3,
-25.5,-11.3,17.5,-11.3,
-24.9,-12.1,11.3,-18.8,
-23.8,-9.0,0.0,-21.3,
-23.1,-3.4,-27.5,-11.3,
-22.5,1.3,-8.8,-10.0,
-30.1,4.5,-5.0,-38.8,
-73.5,0.9,-187.5,-43.8,
-165.0,-29.0,-638.8,36.3,
-256.9,-91.6,-902.5,315.0,
-285.1,-152.1,-795.0,496.3,
-245.4,-168.3,-588.8,450.0,
-182.0,-139.0,-472.5,330.0,
-126.8,-95.9,-436.3,246.3,
-80.5,-60.8,-345.0,221.3,
-42.6,-32.8,-217.5,183.8,
-21.8,-11.6,-157.5,100.0,
-15.3,-3.8,-127.5,61.3,
-8.4,-4.8,-25.0,37.5,
3.0,-4.1,25.0,0.0,
11.8,-0.8,40.0,-23.8,
19.4,1.9,82.5,-30.0,
30.4,6.3,145.0,-38.8,
38.5,15.9,142.5,-58.8,
39.0,27.3,147.5,-78.8,
36.9,35.1,162.5,-75.0,
36.4,38.4,163.8,-78.8,
