"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-29.3,50.9,-108.8,90.0,
-29.8,58.1,-83.8,95.0,
-29.5,61.5,-62.5,103.8,
-30.8,65.8,-76.3,67.5,
-30.1,72.0,-41.3,72.5,
-26.3,77.0,18.8,96.3,
-24.4,78.8,46.3,105.0,
-26.1,78.6,86.3,110.0,
-28.6,78.8,150.0,137.5,
-30.5,79.0,181.3,105.0,
-33.1,77.4,188.8,80.0,
-38.1,72.1,217.5,77.5,
-44.3,64.9,227.5,93.8,
-48.8,58.3,191.3,103.8,
-50.8,49.0,180.0,122.5,
-49.9,40.0,172.5,143.8,
-46.6,41.9,157.5,136.3,
-42.8,51.3,133.8,118.8,
-37.9,57.0,133.8,120.0,
-30.9,56.0,126.3,123.8,
-23.9,51.1,97.5,98.8,
-19.4,46.0,67.5,97.5,
-16.9,40.0,31.3,92.5,
-14.3,32.8,-21.3,83.8,
-10.1,29.0,-68.8,76.3,
-6.1,30.1,-98.8,80.0,
-3.9,30.9,-143.8,82.5,
-1.5,27.8,-186.3,66.3,
2.3,21.8,-208.8,61.3,
6.3,13.6,-216.3,43.8,
9.0,4.4,-196.3,40.0,
10.3,-2.5,-196.3,52.5,
11.5,-3.0,-182.5,42.5,
14.4,0.8,-175.0,25.0,
18.4,1.5,-148.8,12.5,
22.0,-4.5,-121.3,-20.0,
23.4,-16.0,-106.3,-30.0,
20.9,-27.1,-108.8,-46.3,
15.8,-30.5,-98.8,-23.8,
11.9,-27.5,-90.0,-3.8,
13.0,-25.1,-78.8,-5.0,
18.1,-27.5,-56.3,-18.8,
22.5,-33.1,-22.5,-36.3,
24.5,-36.3,27.5,-33.8,
25.4,-34.8,70.0,-23.8,
25.6,-31.9,116.3,-12.5,
25.0,-30.0,130.0,3.8,
24.1,-29.1,140.0,2.5,
23.8,-28.3,131.3,2.5,
23.8,-24.6,122.5,6.3,
24.5,-17.0,113.8,13.8,
26.8,-10.4,102.5,33.8,
29.0,-10.1,86.3,67.5,
28.8,-15.0,75.0,68.8,
24.9,-21.1,68.8,85.0,
18.8,-27.4,50.0,98.8,
11.8,-33.3,43.8,108.8,
4.3,-36.1,17.5,95.0,
-2.8,-36.0,-3.8,110.0,
-7.9,-36.5,-27.5,138.8,
-10.9,-37.9,-55.0,246.3,
-12.4,-38.4,-65.0,300.0,
-12.3,-37.1,-83.8,13.8,
-10.9,-32.9,-106.3,-518.8,
-9.3,-25.8,-128.8,-1021.3,
-7.8,-17.8,-135.0,-1442.5,
-6.3,-12.5,-132.5,-1758.8,
-3.9,-13.4,-136.3,-2100.0,
-0.1,-15.3,-122.5,-2342.5,
2.5,-10.3,-103.8,-2348.8,
0.6,-2.8,-92.5,-2140.0,
-4.9,-0.8,-65.0,-1840.0,
-9.8,-3.4,-43.8,-1526.3,
-12.3,-3.9,-30.0,-1187.5,
-13.6,1.8,-13.8,-822.5,
-14.5,8.1,-5.0,-487.5,
-13.6,10.6,7.5,-203.8,
-10.4,13.1,35.0,-43.8,
-7.5,15.6,60.0,106.3,
-7.1,13.1,86.3,265.0,
-7.6,6.6,93.8,441.3,
-7.8,0.6,95.0,566.3,
-9.3,-0.3,102.5,648.8,
-13.4,6.5,91.3,715.0,
-19.6,14.9,73.8,751.3,
-26.0,17.6,52.5,762.5,
-29.8,15.1,50.0,765.0,
-29.4,10.8,31.3,762.5,
-25.0,7.1,25.0,777.5,
-18.8,6.4,21.3,810.0,
-13.6,8.9,21.3,786.3,
-10.5,12.4,13.8,770.0,
-7.6,14.6,-6.3,766.3,
-4.9,15.0,-17.5,751.3,
-4.4,13.9,-28.8,716.3,
-5.4,12.5,-36.3,656.3,
