"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
22.6,21.5,5.0,-458.8,
22.0,21.0,31.3,-468.8,
24.5,24.5,-35.0,-495.0,
23.5,24.3,-3.8,-492.5,
21.9,23.0,45.0,-482.5,
22.8,23.6,-1.3,-487.5,
21.6,20.9,-11.3,-500.0,
19.0,17.1,52.5,-495.0,
19.6,18.5,40.0,-498.8,
21.6,21.1,8.8,-498.8,
22.5,21.3,33.8,-490.0,
24.3,22.8,36.3,-481.3,
26.4,25.9,-1.3,-467.5,
26.0,26.1,1.3,-445.0,
24.3,23.8,7.5,-425.0,
22.5,20.8,-8.8,-431.3,
19.4,16.1,-23.8,-407.5,
15.6,10.3,-21.3,-378.8,
12.8,5.5,-20.0,-375.0,
10.0,2.6,-30.0,-363.8,
7.0,1.0,-13.8,-345.0,
4.3,-0.8,-21.3,-327.5,
0.9,-4.6,-28.8,-311.3,
-3.8,-10.3,-10.0,-301.3,
-8.5,-15.4,-1.3,-280.0,
-12.8,-18.5,8.8,-266.3,
-16.6,-21.0,26.3,-252.5,
-19.6,-24.1,33.8,-228.8,
-20.9,-27.5,41.3,-218.8,
-20.8,-30.6,35.0,-218.8,
-19.6,-32.0,33.8,-217.5,
-17.5,-31.4,20.0,-203.8,
-15.6,-31.6,2.5,-187.5,
-15.5,-33.9,-8.8,-190.0,
-16.6,-35.4,-8.8,-172.5,
-17.6,-35.4,-18.8,-157.5,
-18.6,-36.1,-35.0,-135.0,
-19.8,-38.9,-38.8,-111.3,
-20.9,-42.1,-41.3,-115.0,
-21.9,-44.3,-45.0,-128.8,
-22.9,-44.9,-45.0,-142.5,
-24.1,-44.4,-27.5,-150.0,
-25.3,-43.1,-22.5,-148.8,
-26.1,-41.4,-8.8,-133.8,
-27.0,-39.3,1.3,-93.8,
-27.6,-37.5,12.5,-77.5,
-27.8,-37.5,13.8,-71.3,
-27.6,-38.3,26.3,-60.0,
-27.5,-36.8,36.3,-56.3,
-27.4,-33.3,22.5,-45.0,
-27.4,-30.8,23.8,-38.8,
-27.3,-29.9,22.5,-43.8,
-26.9,-28.9,20.0,-51.3,
-26.8,-27.6,16.3,-33.8,
-27.3,-27.8,-7.5,-8.8,
-28.3,-29.4,-3.8,-13.8,
-29.4,-31.0,-5.0,-16.3,
-29.5,-32.9,-12.5,-22.5,
-28.6,-36.1,-15.0,-23.8,
-27.9,-39.6,-16.3,-33.8,
-27.8,-42.1,-20.0,-38.8,
-28.3,-44.5,-13.8,-40.0,
-29.1,-47.8,-22.5,-28.8,
-30.1,-50.9,-20.0,-28.8,
-30.9,-52.5,-22.5,-37.5,
-31.0,-52.6,-35.0,-36.3,
-30.8,-52.1,-55.0,-36.3,
-30.8,-52.0,-31.3,-35.0,
-30.9,-53.0,-21.3,-18.8,
-30.8,-54.1,-18.8,-2.5,
-30.6,-53.1,-20.0,17.5,
-31.0,-50.3,-22.5,43.8,
-32.3,-49.6,-33.8,55.0,
-34.1,-53.6,-38.8,58.8,
-35.6,-59.1,-36.3,70.0,
-36.1,-63.1,-28.8,85.0,
-36.5,-68.0,-26.3,85.0,
-37.9,-76.5,-31.3,93.8,
-39.6,-87.6,-32.5,108.8,
-40.6,-98.0,-30.0,115.0,
-40.9,-103.1,-33.8,118.8,
-40.8,-98.6,-26.3,125.0,
-39.6,-85.4,-21.3,125.0,
-36.8,-72.0,-15.0,127.5,
-32.5,-67.4,-7.5,107.5,
-28.6,-71.8,-2.5,86.3,
-26.0,-78.6,7.5,67.5,
-23.9,-82.9,10.0,71.3,
-21.8,-83.5,2.5,72.5,
-19.6,-80.1,7.5,70.0,
-17.6,-72.1,-5.0,75.0,
-16.1,-61.5,-6.3,68.8,
-15.1,-54.4,-17.5,60.0,
-14.5,-54.4,-10.0,56.3,
-14.1,-56.8,2.5,52.5,
-13.6,-53.3,2.5,51.3,
-13.4,-40.1,1.3,50.0,
-13.1,-19.9,5.0,40.0,
-12.5,-1.0,0.0,58.8,
-11.5,8.9,0.0,71.3,
-10.1,10.5,0.0,83.8,
-8.1,11.1,-3.8,81.3,
-6.3,15.1,-2.5,97.5,
-5.3,21.9,6.3,85.0,
-4.8,28.8,3.8,75.0,
-4.1,34.1,11.3,62.5,
-3.4,38.4,13.8,51.3,
-2.8,41.8,17.5,61.3,
-2.4,44.6,23.8,46.3,
-2.3,48.6,15.0,47.5,
-2.1,53.6,18.8,50.0,
-1.8,58.5,28.8,43.8,
-0.4,63.0,37.5,42.5,
2.3,66.3,46.3,16.3,
