"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
2.8,-10.6,-8.8,-28.8,
-1.4,-17.5,-8.8,-35.0,
-5.1,-19.9,-10.0,-15.0,
-6.3,-17.9,-21.3,30.0,
-4.3,-13.9,-22.5,27.5,
-0.1,-9.5,-28.8,20.0,
5.1,-5.4,-12.5,-12.5,
9.6,-2.3,-6.3,-16.3,
12.4,-1.0,-8.8,13.8,
11.6,-1.3,-10.0,27.5,
5.6,-3.0,0.0,66.3,
-3.0,-7.5,5.0,110.0,
-9.3,-15.1,6.3,143.8,
-11.3,-22.3,-5.0,187.5,
-10.0,-22.4,1.3,202.5,
-7.4,-15.0,1.3,222.5,
-4.4,-6.5,-2.5,238.8,
1.4,-2.5,-22.5,238.8,
2.3,-3.6,-30.0,187.5,
2.4,-6.9,-37.5,120.0,
2.3,-9.1,-48.8,73.8,
1.3,-10.6,-61.3,66.3,
0.8,-12.6,-62.5,76.3,
1.8,-14.9,-58.8,88.8,
2.8,-16.8,-55.0,85.0,
2.3,-18.5,-57.5,56.3,
1.1,-22.0,-52.5,32.5,
1.4,-28.5,-55.0,-7.5,
4.0,-34.5,-72.5,-20.0,
8.8,-35.1,-68.8,-12.5,
14.3,-31.3,-76.3,11.3,
18.6,-28.6,-71.3,23.8,
19.8,-30.9,-67.5,-6.3,
18.0,-35.8,-65.0,-63.8,
15.8,-39.1,-65.0,-98.8,
13.8,-40.0,-75.0,-115.0,
11.4,-39.3,-73.8,-115.0,
9.8,-37.6,-67.5,-70.0,
10.0,-36.5,-48.8,-48.8,
10.5,-36.8,-38.8,-60.0,
9.3,-37.8,-37.5,-71.3,
7.0,-38.1,-31.3,-75.0,
6.5,-36.9,-23.8,-30.0,
7.6,-35.0,-30.0,11.3,
8.8,-34.3,-27.5,8.8,
8.6,-34.4,-22.5,11.3,
6.6,-33.8,-15.0,67.5,
2.6,-32.8,-17.5,241.3,
-2.0,-32.8,-32.5,597.5,
-5.1,-31.9,-40.0,932.5,
-5.8,-27.6,-47.5,926.3,
-3.8,-22.1,-40.0,650.0,
0.9,-20.5,-50.0,251.3,
7.0,-25.4,-45.0,-181.3,
13.0,-34.6,-56.3,-568.8,
17.5,-43.9,-67.5,-713.8,
17.3,-49.9,-62.5,-695.0,
12.6,-50.8,-46.3,-553.8,
8.9,-47.5,-38.8,-345.0,
8.0,-44.1,-37.5,-156.3,
8.4,-42.8,-35.0,-7.5,
8.4,-41.8,-20.0,56.3,
7.4,-40.1,-21.3,51.3,
6.8,-38.4,-5.0,70.0,
7.3,-35.1,8.8,111.3,
7.6,-31.0,6.3,111.3,
6.8,-29.6,5.0,76.3,
4.3,-32.3,-1.3,75.0,
0.8,-35.5,-7.5,46.3,
-2.1,-34.5,-12.5,26.3,
-3.8,-29.3,-20.0,56.3,
-5.0,-24.1,-27.5,63.8,
-6.4,-22.1,-31.3,73.8,
-6.9,-22.9,-31.3,77.5,
-7.3,-24.3,-22.5,102.5,
-8.5,-25.6,-26.3,136.3,
-9.5,-28.0,-41.3,126.3,
